System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
23:39:21,495.0203,Cow,10,0,0,0,0,0,0,0,10,8,8,5,5,3,0,0,4,6,2,0,3,5,
0:7:2,760.3158,Cow,11,0,0,0,0,0,0,0,11,8,8,6,4,4,0,0,7,4,0,0,4,7,
0:20:24,492.0195,Cow,10,0,0,0,0,0,0,0,10,7,6,2,2,2,0,0,5,5,2,0,2,6,
0:28:34,490.0171,Cow,10,0,0,0,0,0,0,0,10,8,8,4,3,1,0,0,4,6,2,1,1,6,
0:43:49,627.0814,Cow,12,0,0,0,0,0,0,0,12,12,10,8,8,8,0,0,3,9,4,0,8,0,
0:53:49,751.4059,Cow,11,1,0,0,0,0,1,0,11,8,8,6,5,3,1,0,6,5,1,0,3,6,
1:1:52,647.4402,Cow,13,0,0,0,0,0,0,0,13,12,10,5,4,3,0,0,7,6,3,0,3,7,
0:14:44,764.6788,Cow,11,0,0,0,0,0,0,0,11,8,7,4,4,4,0,0,6,5,2,0,4,5,
1:10:39,838.869,Cow,12,0,0,0,0,0,0,0,12,10,9,5,5,4,0,0,6,6,3,0,4,5,
2:42:26,797.5867,Cow,12,1,0,0,0,0,1,0,12,10,7,6,5,3,1,0,6,6,1,0,3,7,

