System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
23:39:3,459.0317,Lion,7,0,0,0,0,0,0,0,7,7,6,6,3,3,0,0,5,2,3,1,3,0,
0:6:40,717.1454,Lion,9,0,0,0,0,0,0,0,9,9,8,7,4,4,0,0,4,5,4,1,4,0,
0:23:31,866.9818,Lion,9,0,0,0,0,0,0,0,9,9,8,8,4,4,0,0,6,3,4,1,4,0,
0:29:14,570.6007,Lion,7,1,0,0,0,0,1,0,7,7,7,7,6,4,0,1,3,4,2,0,4,0,
0:42:26,461.1991,Lion,8,0,0,0,0,0,0,0,8,8,7,6,1,1,0,0,4,4,2,5,1,0,
0:51:52,519.7325,Lion,8,0,0,0,0,0,0,0,8,8,6,6,6,6,0,0,2,6,2,0,6,0,
1:1:47,638.0377,Lion,9,0,0,0,0,0,0,0,9,9,7,7,5,5,0,0,5,4,3,1,5,0,
0:12:9,453.045,Lion,7,0,0,0,0,0,0,0,7,7,6,6,2,2,0,0,3,4,3,2,2,0,
1:7:37,475.2942,Lion,7,0,0,0,0,0,0,0,7,7,6,6,4,4,0,0,4,3,3,0,4,0,
2:40:43,591.7023,Lion,8,0,0,0,0,0,0,0,8,8,6,6,4,4,0,0,4,4,2,2,4,0,

