System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
23:38:23,380.0493,Pig,10,0,0,0,0,0,0,0,10,8,8,7,1,1,0,0,6,4,5,0,1,4,
0:3:52,381.0638,Pig,10,0,0,0,0,0,0,0,10,8,7,5,5,4,0,0,2,8,0,0,4,6,
0:24:5,931.9756,Pig,174,114,68,4,3,28,11,0,174,105,100,71,41,28,56,58,87,87,27,0,28,5,
0:27:37,377.0222,Pig,10,0,0,0,0,0,0,0,10,9,7,4,1,1,0,0,5,5,2,0,1,7,
0:43:49,627.1077,Pig,14,0,0,0,0,0,0,0,14,12,11,10,7,7,0,0,8,6,3,1,7,3,
0:54:38,849.7256,Pig,94,55,20,12,3,12,7,1,94,69,57,44,29,22,33,22,50,44,13,0,20,6,
0:59:46,396.1712,Pig,14,0,0,0,0,0,0,0,14,11,9,8,6,5,0,0,6,8,1,1,5,7,
0:15:57,909.0154,Pig,34,4,0,0,0,4,0,0,34,31,30,22,15,10,1,3,13,21,10,0,10,10,
1:14:27,1242.973,Pig,470,346,168,60,24,59,32,3,470,300,237,151,89,56,184,162,247,223,62,0,53,9,
2:40:48,602.1555,Pig,22,0,0,0,0,0,0,0,22,13,8,8,7,6,0,0,9,13,5,0,6,11,

