System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:55:41,1.204376,Dog,6,6,6,0,0,0,0,0,6,0,0,0,0,0,3,3,3,3,0,0,0,0,
17:55:47,13.72332,Dog,6,5,5,0,0,0,0,0,6,0,0,0,0,0,3,2,3,3,0,0,0,1,
17:56:22,83.6291,Dog,6,5,0,5,0,0,0,0,6,5,0,0,0,0,3,2,3,3,0,0,0,1,
17:56:42,122.1505,Dog,6,5,0,0,5,0,0,0,6,5,5,0,0,0,3,2,3,3,0,0,0,1,
17:56:42,123.1077,Dog,6,4,0,0,4,0,0,0,6,5,5,0,0,0,3,1,3,3,0,0,0,2,
17:57:12,182.6462,Dog,6,4,0,0,0,4,0,0,6,5,5,4,0,0,3,1,3,3,0,0,0,2,
17:57:39,236.0309,Dog,7,5,1,0,0,4,0,0,7,5,5,4,0,0,4,1,4,3,0,0,0,2,
17:57:59,276.1234,Dog,7,5,1,0,0,0,4,0,7,5,5,4,4,0,4,1,4,3,0,0,0,2,
17:58:11,301.4964,Dog,7,4,1,0,0,0,3,0,7,5,5,4,4,0,3,1,4,3,0,1,0,2,
17:58:20,318.7655,Dog,7,4,0,1,0,0,3,0,7,6,5,4,4,0,3,1,4,3,0,1,0,2,
17:58:39,357.0729,Dog,7,4,0,0,1,0,3,0,7,6,6,4,4,0,3,1,4,3,0,1,0,2,
17:58:42,363.2063,Dog,7,3,0,0,0,0,3,0,7,6,6,4,4,0,2,1,4,3,0,2,0,2,
17:58:55,388.9564,Dog,7,2,0,0,0,0,2,0,7,6,6,4,4,0,1,1,4,3,0,3,0,2,
17:59:7,413.5989,Dog,7,2,0,0,0,0,0,2,7,6,6,4,4,2,1,1,4,3,0,3,0,2,
17:59:8,414.0167,Dog,7,0,0,0,0,0,0,0,7,6,6,4,4,2,0,0,4,3,0,3,2,2,
