System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:55:41,1.204376,Fox,6,6,6,0,0,0,0,0,6,0,0,0,0,0,4,2,4,2,0,0,0,0,
17:56:0,38.96136,Fox,6,5,5,0,0,0,0,0,6,0,0,0,0,0,3,2,4,2,0,0,0,1,
17:56:22,83.6291,Fox,6,5,0,5,0,0,0,0,6,5,0,0,0,0,3,2,4,2,0,0,0,1,
17:56:42,122.1505,Fox,6,5,0,0,5,0,0,0,6,5,5,0,0,0,3,2,4,2,0,0,0,1,
17:57:12,182.6462,Fox,6,5,0,0,0,5,0,0,6,5,5,5,0,0,3,2,4,2,0,0,0,1,
17:57:16,190.424,Fox,6,4,0,0,0,4,0,0,6,5,5,5,0,0,2,2,4,2,0,0,0,2,
17:57:21,201.0394,Fox,6,1,0,0,0,1,0,0,6,5,5,5,0,0,1,0,4,2,0,3,0,2,
17:57:59,276.1234,Fox,6,1,0,0,0,0,1,0,6,5,5,5,1,0,1,0,4,2,0,3,0,2,
17:59:7,413.5989,Fox,6,1,0,0,0,0,0,1,6,5,5,5,1,1,1,0,4,2,0,3,0,2,
17:59:8,414.0167,Fox,6,0,0,0,0,0,0,0,6,5,5,5,1,1,0,0,4,2,0,3,1,2,
