System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:55:41,1.204376,Lion,6,6,6,0,0,0,0,0,6,0,0,0,0,0,1,5,1,5,0,0,0,0,
17:56:26,91.16962,Lion,6,6,0,6,0,0,0,0,6,6,0,0,0,0,1,5,1,5,0,0,0,0,
17:56:47,133.1029,Lion,6,6,0,0,6,0,0,0,6,6,6,0,0,0,1,5,1,5,0,0,0,0,
17:57:20,199.0728,Lion,6,6,0,0,0,6,0,0,6,6,6,6,0,0,1,5,1,5,0,0,0,0,
17:57:21,201.7664,Lion,6,3,0,0,0,3,0,0,6,6,6,6,0,0,1,2,1,5,3,0,0,0,
17:58:11,301.13,Lion,6,3,0,0,0,0,3,0,6,6,6,6,3,0,1,2,1,5,3,0,0,0,
17:59:26,451.0894,Lion,6,3,0,0,0,0,0,3,6,6,6,6,3,3,1,2,1,5,3,0,0,0,
17:59:27,452.028,Lion,6,2,0,0,0,0,0,2,6,6,6,6,3,3,0,2,1,5,3,0,1,0,
17:59:27,453.0074,Lion,6,1,0,0,0,0,0,1,6,6,6,6,3,3,0,1,1,5,3,0,2,0,
17:59:29,456.0311,Lion,6,0,0,0,0,0,0,0,6,6,6,6,3,3,0,0,1,5,3,0,3,0,
