System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:55:41,1.204376,Pig,6,6,6,0,0,0,0,0,6,0,0,0,0,0,2,4,2,4,0,0,0,0,
17:56:19,76.1077,Pig,6,6,0,6,0,0,0,0,6,6,0,0,0,0,2,4,2,4,0,0,0,0,
17:56:36,111.073,Pig,6,6,0,0,6,0,0,0,6,6,6,0,0,0,2,4,2,4,0,0,0,0,
17:57:4,166.1268,Pig,6,6,0,0,0,6,0,0,6,6,6,6,0,0,2,4,2,4,0,0,0,0,
17:57:11,180.6502,Pig,6,5,0,0,0,5,0,0,6,6,6,6,0,0,1,4,2,4,0,1,0,0,
17:57:13,185.2852,Pig,10,9,4,0,0,5,0,0,10,6,6,6,0,0,2,7,3,7,0,1,0,0,
17:57:46,251.1129,Pig,10,9,4,0,0,0,5,0,10,6,6,6,5,0,2,7,3,7,0,1,0,0,
17:57:51,260.2947,Pig,10,9,0,4,0,0,5,0,10,10,6,6,5,0,2,7,3,7,0,1,0,0,
17:58:8,295.308,Pig,10,9,0,0,4,0,5,0,10,10,10,6,5,0,2,7,3,7,0,1,0,0,
17:58:16,311.3606,Pig,14,13,4,0,4,0,5,0,14,10,10,6,5,0,3,10,4,10,0,1,0,0,
17:58:35,349.4758,Pig,18,17,8,0,4,0,5,0,18,10,10,6,5,0,3,14,4,14,0,1,0,0,
17:58:36,350.3119,Pig,18,17,8,0,0,4,5,0,18,10,10,10,5,0,3,14,4,14,0,1,0,0,
17:58:49,376.0868,Pig,18,17,8,0,0,4,0,5,18,10,10,10,5,5,3,14,4,14,0,1,0,0,
17:58:50,378.0709,Pig,18,16,8,0,0,4,0,4,18,10,10,10,5,5,3,13,4,14,0,1,1,0,
17:58:50,379.0532,Pig,18,14,8,0,0,4,0,2,18,10,10,10,5,5,2,12,4,14,0,1,3,0,
17:58:54,386.0175,Pig,18,13,8,0,0,4,0,1,18,10,10,10,5,5,2,11,4,14,0,1,4,0,
17:58:54,386.4335,Pig,18,13,4,4,0,4,0,1,18,14,10,10,5,5,2,11,4,14,0,1,4,0,
17:58:55,388.0444,Pig,18,12,4,4,0,4,0,0,18,14,10,10,5,5,2,10,4,14,0,1,5,0,
17:59:1,401.1923,Pig,18,11,4,4,0,3,0,0,18,14,10,10,5,5,2,9,4,14,0,1,5,1,
17:59:11,421.3685,Pig,18,11,4,0,4,3,0,0,18,14,14,10,5,5,2,9,4,14,0,1,5,1,
17:59:13,424.529,Pig,18,11,0,4,4,3,0,0,18,18,14,10,5,5,2,9,4,14,0,1,5,1,
17:59:18,435.2719,Pig,18,11,0,4,4,0,3,0,18,18,14,10,8,5,2,9,4,14,0,1,5,1,
17:59:20,438.0785,Pig,22,15,4,4,4,0,3,0,22,18,14,10,8,5,5,10,7,15,0,1,5,1,
