System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
18:20:57,1.208676,Cow,6,6,6,0,0,0,0,0,6,0,0,0,0,0,3,3,3,3,0,0,0,0,
18:21:20,46.96399,Cow,6,5,5,0,0,0,0,0,6,0,0,0,0,0,2,3,3,3,0,0,0,1,
18:21:45,98.63957,Cow,6,5,0,5,0,0,0,0,6,5,0,0,0,0,2,3,3,3,0,0,0,1,
18:22:2,131.6072,Cow,6,4,0,4,0,0,0,0,6,5,0,0,0,0,2,2,3,3,0,0,0,2,
18:22:8,144.0749,Cow,6,4,0,0,4,0,0,0,6,5,4,0,0,0,2,2,3,3,0,0,0,2,
18:22:38,203.4009,Cow,6,2,0,0,2,0,0,0,6,5,4,0,0,0,1,1,3,3,2,0,0,2,
18:22:44,215.5644,Cow,6,2,0,0,0,2,0,0,6,5,4,2,0,0,1,1,3,3,2,0,0,2,
18:23:39,326.1026,Cow,6,2,0,0,0,0,2,0,6,5,4,2,2,0,1,1,3,3,2,0,0,2,
18:25:0,488.5664,Cow,6,2,0,0,0,0,0,2,6,5,4,2,2,2,1,1,3,3,2,0,0,2,
18:25:1,489.0131,Cow,6,1,0,0,0,0,0,1,6,5,4,2,2,2,1,0,3,3,2,0,1,2,
18:25:1,490.0371,Cow,6,0,0,0,0,0,0,0,6,5,4,2,2,2,0,0,3,3,2,0,2,2,
