System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:47:5,307.0116,Chicken,6,0,0,0,0,0,0,0,6,6,5,5,3,3,0,0,1,5,1,0,3,2,
16:51:57,170.3395,Chicken,6,0,0,0,0,0,0,0,6,4,2,2,0,0,0,0,4,2,1,0,0,5,
16:59:53,183.6856,Chicken,6,0,0,0,0,0,0,0,6,4,3,3,0,0,0,0,2,4,3,0,0,3,
17:17:12,673.0868,Chicken,12,0,0,0,0,0,0,0,12,10,10,8,6,6,0,0,4,8,2,1,6,3,
17:19:10,170.386,Chicken,6,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,2,4,2,1,0,3,
17:27:41,303.0732,Chicken,6,0,0,0,0,0,0,0,6,5,3,3,1,1,0,0,4,2,0,0,1,5,
17:37:12,297.8622,Chicken,6,0,0,0,0,0,0,0,6,5,5,4,1,0,0,0,6,0,2,0,0,4,
17:7:12,308.0118,Chicken,9,0,0,0,0,0,0,0,9,6,6,5,2,2,0,0,4,5,1,1,2,5,
17:45:5,304.0364,Chicken,6,0,0,0,0,0,0,0,6,4,4,4,2,2,0,0,1,5,1,0,2,3,
17:52:15,149.9449,Chicken,6,0,0,0,0,0,0,0,6,4,3,2,0,0,0,0,2,4,0,0,0,6,
17:57:45,248.7885,Chicken,9,0,0,0,0,0,0,0,9,6,5,3,0,0,0,0,4,5,2,0,0,7,
18:16:52,446.207,Chicken,15,0,0,0,0,0,0,0,15,15,15,9,6,5,0,0,7,8,7,1,5,2,
18:23:30,307.0141,Chicken,6,0,0,0,0,0,0,0,6,6,6,5,2,1,0,0,3,3,0,1,1,4,
18:30:11,302.041,Chicken,6,0,0,0,0,0,0,0,6,6,6,6,2,2,0,0,2,4,2,0,2,2,
18:7:20,302.0418,Chicken,6,0,0,0,0,0,0,0,6,4,4,3,1,1,0,0,2,4,2,0,1,3,

