System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:48:37,491.019,Cow,6,0,0,0,0,0,0,0,6,5,5,3,2,1,0,0,0,6,2,0,1,3,
16:53:44,385.1194,Cow,6,0,0,0,0,0,0,0,6,3,3,2,1,0,0,0,2,4,0,1,0,5,
17:2:26,489.0115,Cow,6,0,0,0,0,0,0,0,6,5,5,3,2,2,0,0,2,4,2,0,2,2,
17:15:41,492.022,Cow,6,0,0,0,0,0,0,0,6,5,5,3,3,2,0,0,3,3,0,0,2,4,
17:21:51,491.0279,Cow,7,0,0,0,0,0,0,0,7,5,4,2,2,1,0,0,5,2,3,0,1,3,
17:29:17,496.057,Cow,7,0,0,0,0,0,0,0,7,7,6,4,3,3,0,0,1,6,2,1,3,1,
17:38:48,489.0401,Cow,6,0,0,0,0,0,0,0,6,5,4,1,1,1,0,0,4,2,0,1,1,4,
17:11:7,778.6974,Cow,8,0,0,0,0,0,0,0,8,6,6,5,5,5,0,0,2,6,1,0,5,2,
17:46:39,492.0355,Cow,7,0,0,0,0,0,0,0,7,7,6,5,3,3,0,0,3,4,1,0,3,3,
17:55:6,491.0282,Cow,6,0,0,0,0,0,0,0,6,6,6,3,1,1,0,0,3,3,0,1,1,4,
18:0:22,493.0506,Cow,6,0,0,0,0,0,0,0,6,5,4,3,2,1,0,0,1,5,0,0,1,5,
18:17:15,492.0036,Cow,6,0,0,0,0,0,0,0,6,5,5,2,2,2,0,0,3,3,1,0,2,3,
18:25:1,490.0371,Cow,6,0,0,0,0,0,0,0,6,5,4,2,2,2,0,0,3,3,2,0,2,2,
18:31:46,492.042,Cow,6,0,0,0,0,0,0,0,6,6,6,3,3,3,0,0,3,3,2,1,3,0,
18:9:52,604.6486,Cow,8,1,0,0,0,1,0,0,8,8,8,5,4,4,1,0,6,2,2,0,4,1,

