System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:46:53,284.2698,Dog,6,0,0,0,0,0,0,0,6,6,6,5,1,0,0,0,4,2,0,5,0,1,
16:54:0,416.0386,Dog,7,0,0,0,0,0,0,0,7,7,7,5,3,1,0,0,4,3,1,3,1,2,
17:1:30,377.5942,Dog,8,0,0,0,0,0,0,0,8,8,8,6,2,0,0,0,4,4,0,8,0,0,
17:13:37,243.7041,Dog,6,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,3,3,1,4,0,1,
17:21:12,414.0807,Dog,7,0,0,0,0,0,0,0,7,7,7,6,1,1,0,0,1,6,1,5,1,0,
17:28:36,414.0741,Dog,7,0,0,0,0,0,0,0,7,7,7,6,2,1,0,0,2,5,0,5,1,1,
17:39:22,558.5591,Dog,7,0,0,0,0,0,0,0,7,7,7,7,1,0,0,0,4,3,1,4,0,2,
17:7:8,301.4465,Dog,6,0,0,0,0,0,0,0,6,6,6,6,1,0,0,0,3,3,1,5,0,0,
17:44:14,200.9875,Dog,6,0,0,0,0,0,0,0,6,6,6,5,0,0,0,0,3,3,0,5,0,1,
17:54:14,387.1067,Dog,7,0,0,0,0,0,0,0,7,7,6,4,1,0,0,0,4,3,0,4,0,3,
17:59:8,414.0167,Dog,7,0,0,0,0,0,0,0,7,6,6,4,4,2,0,0,4,3,0,3,2,2,
18:15:40,302.4076,Dog,7,0,0,0,0,0,0,0,7,7,7,4,0,0,0,0,5,2,0,5,0,2,
18:22:46,220.5549,Dog,6,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,1,5,2,4,0,0,
18:29:21,200.9773,Dog,6,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,2,4,0,4,0,2,
18:7:19,299.9164,Dog,6,0,0,0,0,0,0,0,6,6,6,6,2,0,0,0,3,3,1,5,0,0,

