System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:47:1,299.0224,Fox,8,0,0,0,0,0,0,0,8,8,8,6,0,0,0,0,3,5,1,7,0,0,
16:54:0,417.0367,Fox,6,0,0,0,0,0,0,0,6,5,4,4,1,1,0,0,3,3,0,2,1,3,
17:4:12,700.8883,Fox,12,0,0,0,0,0,0,0,12,12,11,7,5,3,0,0,6,6,0,7,3,2,
17:15:5,419.063,Fox,8,0,0,0,0,0,0,0,8,8,8,6,2,1,0,0,3,5,1,5,1,1,
17:21:13,415.068,Fox,12,0,0,0,0,0,0,0,12,10,10,5,3,2,0,0,6,6,0,8,2,2,
17:28:44,430.0197,Fox,8,0,0,0,0,0,0,0,8,8,8,6,2,2,0,0,4,4,3,2,2,1,
17:38:11,416.6078,Fox,8,0,0,0,0,0,0,0,8,7,7,5,1,0,0,0,5,3,1,6,0,1,
17:8:5,415.0358,Fox,6,0,0,0,0,0,0,0,6,5,5,5,2,2,0,0,4,2,0,3,2,1,
17:47:11,555.1902,Fox,8,0,0,0,0,0,0,0,8,8,8,7,1,0,0,0,2,6,0,7,0,1,
17:54:28,415.0435,Fox,6,0,0,0,0,0,0,0,6,6,6,5,1,1,0,0,5,1,0,4,1,1,
17:59:8,414.0167,Fox,6,0,0,0,0,0,0,0,6,5,5,5,1,1,0,0,4,2,0,3,1,2,
18:19:49,800.205,Fox,12,0,0,0,0,0,0,0,12,10,9,7,4,2,0,0,5,7,3,4,2,3,
18:26:33,674.8658,Fox,14,0,0,0,0,0,0,0,14,14,14,6,5,3,0,0,8,6,0,10,3,1,
18:30:22,323.6118,Fox,8,0,0,0,0,0,0,0,8,7,7,6,1,0,0,0,5,3,0,6,0,2,
18:8:19,418.0374,Fox,6,0,0,0,0,0,0,0,6,6,6,5,2,2,0,0,3,3,0,3,2,1,

