System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:48:19,455.0018,Lion,6,0,0,0,0,0,0,0,6,6,6,6,4,4,0,0,1,5,1,1,4,0,
16:55:22,581.301,Lion,9,0,0,0,0,0,0,0,9,9,8,8,6,5,0,0,7,2,0,4,5,0,
17:2:8,453.0425,Lion,7,0,0,0,0,0,0,0,7,7,6,6,1,1,0,0,5,2,4,2,1,0,
17:15:22,454.0679,Lion,9,0,0,0,0,0,0,0,9,9,6,6,5,4,0,0,6,3,0,5,4,0,
17:22:3,516.2537,Lion,8,0,0,0,0,0,0,0,8,8,6,6,6,5,0,0,2,6,0,3,5,0,
17:28:59,460.0299,Lion,6,0,0,0,0,0,0,0,6,6,6,6,4,4,0,0,1,5,0,2,4,0,
17:40:0,634.7759,Lion,8,1,0,0,0,0,1,0,8,8,8,7,5,4,1,0,5,3,2,1,4,0,
17:8:24,452.0279,Lion,7,0,0,0,0,0,0,0,7,7,6,6,3,2,0,0,3,4,2,3,2,0,
17:49:3,779.1622,Lion,7,0,0,0,0,0,0,0,7,7,7,7,4,4,0,0,2,5,2,1,4,0,
17:54:48,455.0221,Lion,6,0,0,0,0,0,0,0,6,6,6,6,3,3,0,0,2,4,2,1,3,0,
17:59:29,456.0311,Lion,6,0,0,0,0,0,0,0,6,6,6,6,3,3,0,0,1,5,3,0,3,0,
18:16:58,458.0107,Lion,6,0,0,0,0,0,0,0,6,6,6,6,1,1,0,0,4,2,5,0,1,0,
18:24:43,453.0294,Lion,6,0,0,0,0,0,0,0,6,6,6,6,2,2,0,0,3,3,1,3,2,0,
18:31:28,456.0158,Lion,6,0,0,0,0,0,0,0,6,6,6,6,1,1,0,0,2,4,2,3,1,0,
18:9:38,576.3974,Lion,8,1,0,0,0,0,1,0,8,8,7,7,3,1,1,0,6,2,1,5,1,0,

