System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:47:40,378.0248,Pig,6,0,0,0,0,0,0,0,6,4,4,4,4,4,0,0,1,5,0,0,4,2,
16:53:40,377.0246,Pig,6,0,0,0,0,0,0,0,6,6,6,5,2,1,0,0,0,6,3,0,1,2,
17:1:31,380.0231,Pig,6,0,0,0,0,0,0,0,6,5,5,5,3,3,0,0,1,5,1,0,3,2,
17:13:53,276.4101,Pig,6,0,0,0,0,0,0,0,6,4,4,2,1,0,0,0,2,4,1,0,0,5,
17:20:38,345.1164,Pig,6,0,0,0,0,0,0,0,6,5,5,4,2,0,0,0,3,3,2,0,0,4,
17:28:15,371.3411,Pig,6,0,0,0,0,0,0,0,6,5,4,3,2,0,0,0,2,4,1,0,0,5,
17:37:47,368.3154,Pig,6,0,0,0,0,0,0,0,6,4,4,2,1,0,0,0,5,1,1,0,0,5,
17:7:46,377.0303,Pig,6,0,0,0,0,0,0,0,6,6,6,4,3,1,0,0,2,4,0,0,1,5,
17:45:42,378.0285,Pig,6,0,0,0,0,0,0,0,6,6,6,6,4,2,0,0,0,6,1,0,2,3,
17:54:11,380.0658,Pig,6,0,0,0,0,0,0,0,6,4,4,4,2,2,0,0,3,3,2,0,2,2,
18:4:43,993.7635,Pig,270,209,80,56,17,23,28,1,266,186,130,85,60,32,112,97,141,129,28,1,31,1,
18:16:20,381.0273,Pig,6,0,0,0,0,0,0,0,6,5,2,2,1,1,0,0,4,2,1,0,1,4,
18:24:6,379.0568,Pig,6,0,0,0,0,0,0,0,6,4,3,2,2,2,0,0,5,1,0,0,2,4,
18:32:14,546.4073,Pig,10,0,0,0,0,0,0,0,10,10,9,6,2,2,0,0,6,4,6,1,2,1,
18:7:58,377.0498,Pig,6,0,0,0,0,0,0,0,6,5,5,5,3,2,0,0,3,3,1,1,2,2,

