System Time:,Simulation Time:,VegetableType:,CurrentNumber:
16:11:25,10.03265,Grain,181
16:11:27,13.05953,Grain,182
16:11:28,16.06731,Grain,183
16:11:30,19.09473,Grain,184
16:11:31,22.11666,Grain,185
16:11:33,25.15011,Grain,186
16:11:34,28.17054,Grain,187
16:11:36,31.19082,Grain,188
16:11:37,34.2228,Grain,189
16:11:39,37.25392,Grain,190
16:11:40,40.25841,Grain,191
16:11:42,43.27337,Grain,192
16:11:43,46.28201,Grain,193
16:11:45,49.28551,Grain,194
16:11:46,52.32098,Grain,195
16:11:48,55.3223,Grain,196
16:11:49,58.3394,Grain,197
16:11:51,61.35657,Grain,198
16:11:52,64.37373,Grain,199
16:11:54,67.39431,Grain,200
16:11:56,70.39464,Grain,201
16:11:57,73.39665,Grain,202
16:11:59,76.40371,Grain,203
16:12:00,79.44998,Grain,204
16:12:02,82.4767,Grain,205
16:12:03,85.5455,Grain,206
16:12:05,88.57764,Grain,207
16:12:06,91.60056,Grain,208
16:12:08,94.62115,Grain,209
16:12:09,97.64121,Grain,210
16:12:11,100.6683,Grain,211
16:12:12,103.6903,Grain,212
16:12:14,106.7048,Grain,213
16:12:15,109.7154,Grain,214
16:12:17,112.7161,Grain,215
16:12:18,115.7246,Grain,216
16:12:20,118.7474,Grain,217
16:12:21,121.7648,Grain,218
16:12:23,124.7868,Grain,219
16:12:24,127.8127,Grain,220
16:12:26,130.8293,Grain,221
16:12:27,133.8452,Grain,222
16:12:29,136.8486,Grain,223
16:12:30,139.8838,Grain,224
16:12:32,142.889,Grain,225
16:12:33,145.9306,Grain,226
16:12:35,148.9644,Grain,227
16:12:36,151.9937,Grain,228
16:12:38,155.0165,Grain,229
16:12:39,158.0524,Grain,230
16:12:41,161.0859,Grain,231
16:12:42,164.1069,Grain,232
16:12:44,167.1233,Grain,233
16:12:45,170.1427,Grain,234
16:12:47,173.1708,Grain,235
16:12:48,176.1963,Grain,236
16:12:50,179.2168,Grain,237
16:12:51,182.2287,Grain,238
16:12:53,185.236,Grain,239
16:12:54,188.2413,Grain,240
16:12:56,191.2634,Grain,241
16:12:57,194.2887,Grain,242
16:12:59,197.291,Grain,243
16:13:00,200.319,Grain,244
16:13:02,203.3375,Grain,245
16:13:03,206.3686,Grain,246
16:13:05,209.3827,Grain,247
16:13:07,212.4055,Grain,248
16:13:08,215.4256,Grain,249
16:13:10,218.4417,Grain,250
16:13:11,221.4617,Grain,251
16:13:13,224.4984,Grain,252
16:13:14,227.5047,Grain,253
16:13:16,230.5271,Grain,254
16:13:17,233.5502,Grain,255
16:13:19,236.5556,Grain,256
16:13:20,239.5878,Grain,257
16:13:22,242.6102,Grain,258
16:13:23,245.6134,Grain,258
16:13:25,248.6162,Grain,259
16:13:26,251.6347,Grain,260
16:13:28,254.672,Grain,260
16:13:29,257.6988,Grain,260
16:13:31,260.7452,Grain,261
16:13:32,263.7678,Grain,262
16:13:34,266.7787,Grain,262
16:13:35,269.7895,Grain,262
16:13:37,272.8271,Grain,262
16:13:38,275.8497,Grain,263
16:13:40,278.8858,Grain,262
16:13:41,281.8982,Grain,262
16:13:43,284.9142,Grain,262
16:13:44,287.9565,Grain,261
16:13:46,291.0024,Grain,260
16:13:47,294.0106,Grain,260
16:13:49,297.0529,Grain,260
16:13:50,300.0593,Grain,261
16:13:52,303.0824,Grain,261
16:13:53,306.1221,Grain,262
16:13:55,309.1801,Grain,263
16:13:56,312.2093,Grain,262
