System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
6:00:56,19.7019,Dog,50,50,0,0,0,0,0,0,0,0,0,0,0,0,19,31,19,31,0,0,0,0
6:01:02,32.76012,Dog,50,50,50,0,0,0,0,0,50,0,0,0,0,0,19,31,19,31,0,0,0,0
6:01:42,149.7776,Dog,50,50,0,50,0,0,0,0,50,50,0,0,0,0,19,31,19,31,0,0,0,0
6:03:09,305.7569,Dog,50,50,0,0,50,0,0,0,50,50,50,0,0,0,19,31,19,31,0,0,0,0
6:04:41,430.3836,Dog,56,56,0,0,50,0,0,0,50,50,50,0,0,0,22,34,22,34,0,0,0,0
6:04:42,430.9836,Dog,58,58,0,0,50,0,0,0,50,50,50,0,0,0,23,35,23,35,0,0,0,0
6:04:43,431.8836,Dog,60,60,0,0,50,0,0,0,50,50,50,0,0,0,25,35,25,35,0,0,0,0
6:04:46,433.3836,Dog,62,62,0,0,50,0,0,0,50,50,50,0,0,0,26,36,26,36,0,0,0,0
6:04:47,434.2836,Dog,64,64,0,0,50,0,0,0,50,50,50,0,0,0,27,37,27,37,0,0,0,0
6:04:59,443.2836,Dog,64,64,6,0,50,0,0,0,56,50,50,0,0,0,27,37,27,37,0,0,0,0
6:05:00,443.8836,Dog,64,64,8,0,50,0,0,0,58,50,50,0,0,0,27,37,27,37,0,0,0,0
6:05:01,444.7836,Dog,64,64,10,0,50,0,0,0,60,50,50,0,0,0,27,37,27,37,0,0,0,0
6:05:02,445.6836,Dog,66,66,10,0,50,0,0,0,60,50,50,0,0,0,28,38,28,38,0,0,0,0
6:05:03,446.2836,Dog,66,66,12,0,50,0,0,0,62,50,50,0,0,0,28,38,28,38,0,0,0,0
6:05:04,447.1836,Dog,68,68,14,0,50,0,0,0,64,50,50,0,0,0,30,38,30,38,0,0,0,0
6:05:06,448.9836,Dog,68,68,14,0,0,50,0,0,64,50,50,50,0,0,30,38,30,38,0,0,0,0
6:05:14,455.5836,Dog,70,70,14,0,0,50,0,0,64,50,50,50,0,0,32,38,32,38,0,0,0,0
6:05:16,458.5836,Dog,70,70,16,0,0,50,0,0,66,50,50,50,0,0,32,38,32,38,0,0,0,0
6:05:17,460.0836,Dog,70,70,18,0,0,50,0,0,68,50,50,50,0,0,32,38,32,38,0,0,0,0
6:05:24,468.4836,Dog,70,70,20,0,0,50,0,0,70,50,50,50,0,0,32,38,32,38,0,0,0,0
6:05:32,480.4836,Dog,72,72,20,0,0,50,0,0,70,50,50,50,0,0,34,38,34,38,0,0,0,0
6:05:43,493.3836,Dog,72,72,22,0,0,50,0,0,72,50,50,50,0,0,34,38,34,38,0,0,0,0
6:06:02,515.5836,Dog,74,74,22,0,0,50,0,0,72,50,50,50,0,0,36,38,36,38,0,0,0,0
6:06:14,528.4836,Dog,74,74,24,0,0,50,0,0,74,50,50,50,0,0,36,38,36,38,0,0,0,0
