System Time:,Simulation Time:,Generation,SPEED,SpeedMutationType,SpeedMutationProbability,SpeedMutationMinMaxChange,SpeedCominantRecessiveInheritancePriority,SpeedDominantOriginal,SpeedRecessiceOriginal,SpeedMutationValue,SpeedMutationResult,SpeedDominant,SpeedRecessice,SpeedFather,SpeedMother,SpeedComparedToFather,SpeedComparedToMother,METABOLISM,MetabolismMutationType,MetabolismMutationProbability,MetabolismMutationMinMaxChange,MetabolismCominantRecessiveInheritancePriority,MetabolismDominantOriginal,MetabolismRecessiceOriginal,MetabolismMutationValue,MetabolismMutationResult,MetabolismDominant,MetabolismRecessice,MetabolismFather,MetabolismMother,MetabolismComparedToFather,MetabolismComparedToMother,REPRODUCTIONRATE,ReproductionRateMutationType,ReproductionRateMutationProbability,ReproductionRateMutationMinMaxChange,ReproductionRateCominantRecessiveInheritancePriority,ReproductionRateDominantOriginal,ReproductionRateRecessiceOriginal,ReproductionRateMutationValue,ReproductionRateMutationResult,ReproductionRateDominant,ReproductionRateRecessice,ReproductionRateFather,ReproductionRateMother,ReproductionRateComparedToFather,ReproductionRateComparedToMother,ATTRIBUTES AT NEWBORN,Speed,Hunger,Thirst,ViewRadius,PregnancyTime
16:16:00,559.3555,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.2118549,-0.01307276,Dominant and Recessive,-0.01307276,-0.2249276,-0.2118549,-0.2081889,0.1987821,0.1951161,METABOLISM,Random,1,-0.1_0.1,Lower,-0.06586642,0,0.03323004,Dominant and Recessive,-0.03263638,0.03323004,0,0,-0.03263638,-0.03263638,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0.1805843,0.03525889,Recessive,0,0.2158432,-0.05008496,0,0.05008496,0,ATTRIBUTES,2.986927,0.9673636,0.9673636,20,260
16:16:00,559.3555,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.2118549,-0.1634438,Dominant and Recessive,-0.1634438,-0.3752987,-0.2118549,-0.2081889,0.04841107,0.04474509,METABOLISM,Random,1,-0.1_0.1,Lower,-0.06586642,0,0.009363569,None,-0.06586642,0,0,0,-0.06586642,-0.06586642,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0.1805843,0.02987292,None,0,0.1805843,-0.05008496,0,0.05008496,0,ATTRIBUTES,2.836556,0.9341336,0.9341336,20,260
16:16:00,559.6154,1,SPEED,Random,1,-0.25_0.25,Bigger,0.0459784,-0.05331483,-0.2178804,Dominant and Recessive,-0.171902,-0.2711953,0.0459784,-0.05331483,-0.2178804,-0.1185872,METABOLISM,Random,1,-0.1_0.1,Lower,-0.03299407,0.02852147,0.03984933,Dominant and Recessive,0.006855257,0.06837079,-0.03299407,0.02852147,0.03984933,-0.02166621,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.04981562,0.08098258,-0.02246539,Dominant,-0.07228102,0.08098258,-0.04981562,0.08098258,-0.02246539,-0.1532636,ATTRIBUTES,2.828098,1.006855,1.006855,20,260
16:16:00,559.6154,1,SPEED,Random,1,-0.25_0.25,Bigger,0.0459784,-0.05331483,-0.164989,Dominant and Recessive,-0.1190106,-0.2183038,0.0459784,-0.05331483,-0.164989,-0.06569576,METABOLISM,Random,1,-0.1_0.1,Lower,-0.03299407,0.02852147,0.03783729,Dominant and Recessive,0.00484322,0.06635876,-0.03299407,0.02852147,0.03783729,-0.02367825,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.04981562,0.08098258,-0.02298185,Recessive,-0.04981562,0.05800073,-0.04981562,0.08098258,0,-0.1307982,ATTRIBUTES,2.880989,1.004843,1.004843,20,260
16:16:01,561.2252,1,SPEED,Random,1,-0.25_0.25,Bigger,0.0829597,0,-0.03951558,Recessive,0.0829597,-0.03951558,0.0829597,0,0,0.0829597,METABOLISM,Random,1,-0.1_0.1,Lower,0,0,0.006103933,Recessive,0,0.006103933,0,-0.009552993,0,0.009552993,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0,-0.01424453,Dominant,-0.01424453,0,0,0.05865039,-0.01424453,-0.07289492,ATTRIBUTES,3.08296,1,1,20,260
16:16:01,561.2252,1,SPEED,Random,1,-0.25_0.25,Bigger,0.0829597,0,-0.1698141,None,0.0829597,0,0.0829597,0,0,0.0829597,METABOLISM,Random,1,-0.1_0.1,Lower,0,0,-0.04687328,Dominant and Recessive,-0.04687328,-0.04687328,0,-0.009552993,-0.04687328,-0.03732028,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0,0.1613075,Recessive,0,0.1613075,0,0.05865039,0,-0.05865039,ATTRIBUTES,3.08296,0.9531267,0.9531267,20,260
16:16:01,561.3516,1,SPEED,Random,1,-0.25_0.25,Bigger,0,0,-0.07780591,Recessive,0,-0.07780591,0,0.0152857,0,-0.0152857,METABOLISM,Random,1,-0.1_0.1,Lower,0,0,0.04475796,Dominant,0.04475796,0,0,0.03281865,0.04475796,0.01193931,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.07825564,0,0.0008736849,Dominant,-0.07738195,0,-0.07825564,0,0.0008736849,-0.07738195,ATTRIBUTES,3,1.044758,1.044758,20,260
16:16:01,561.3516,1,SPEED,Random,1,-0.25_0.25,Bigger,0,0,-0.2010031,Dominant,-0.2010031,0,0,0.0152857,-0.2010031,-0.2162888,METABOLISM,Random,1,-0.1_0.1,Lower,0,0,-0.04596127,Dominant and Recessive,-0.04596127,-0.04596127,0,0.03281865,-0.04596127,-0.07877992,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,-0.07825564,0,0.1594964,Dominant,0.08124077,0,-0.07825564,0,0.1594964,0.08124077,ATTRIBUTES,2.798997,0.9540387,0.9540387,20,260
16:16:03,564.4109,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.047142,0.05812541,None,0,-0.047142,0,-0.047142,0,0.047142,METABOLISM,Random,1,-0.1_0.1,Lower,0.03748834,0.06987841,-0.08361126,Dominant and Recessive,-0.04612292,-0.01373285,0.03748834,0.06987841,-0.08361126,-0.1160013,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0.04886615,-0.1133138,Dominant,-0.1133138,0.04886615,0,0.04886615,-0.1133138,-0.1621799,ATTRIBUTES,3,0.9538771,0.9538771,20,260
16:16:03,564.4109,1,SPEED,Random,1,-0.25_0.25,Bigger,0,-0.047142,-0.1272686,Recessive,0,-0.1744106,0,-0.047142,0,0.047142,METABOLISM,Random,1,-0.1_0.1,Lower,0.03748834,0.06987841,0.06776951,Recessive,0.03748834,0.1376479,0.03748834,0.06987841,0,-0.03239007,REPRODUCTIONRATE,Random,1,-0.2_0.2,Lower,0,0.04886615,-0.1007173,Recessive,0,-0.05185116,0,0.04886615,0,-0.04886615,ATTRIBUTES,3,1.037488,1.037488,20,260
