System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:11:23,5.94316,Chicken,150,150,0,0,0,0,0,0,0,0,0,0,0,0,68,82,68,82,0,0,0,0
16:11:27,13.46555,Chicken,150,150,150,0,0,0,0,0,150,0,0,0,0,0,68,82,68,82,0,0,0,0
16:11:39,37.163,Chicken,150,149,149,0,0,0,0,0,150,0,0,0,0,0,68,81,68,82,0,0,0,1
16:11:39,38.02554,Chicken,150,148,148,0,0,0,0,0,150,0,0,0,0,0,67,81,68,82,0,0,0,2
16:11:41,41.75851,Chicken,150,147,147,0,0,0,0,0,150,0,0,0,0,0,67,80,68,82,0,0,0,3
16:11:45,48.70126,Chicken,150,146,146,0,0,0,0,0,150,0,0,0,0,0,66,80,68,82,0,0,0,4
16:11:47,54.32396,Chicken,150,145,145,0,0,0,0,0,150,0,0,0,0,0,65,80,68,82,0,0,0,5
16:11:48,54.80777,Chicken,150,144,144,0,0,0,0,0,150,0,0,0,0,0,64,80,68,82,0,0,0,6
16:11:48,54.89324,Chicken,150,143,143,0,0,0,0,0,150,0,0,0,0,0,63,80,68,82,0,0,0,7
16:11:54,66.44989,Chicken,150,142,142,0,0,0,0,0,150,0,0,0,0,0,63,79,68,82,0,0,0,8
16:11:58,74.82914,Chicken,150,141,141,0,0,0,0,0,150,0,0,0,0,0,62,79,68,82,0,0,0,9
16:11:59,77.97118,Chicken,150,140,140,0,0,0,0,0,150,0,0,0,0,0,61,79,68,82,0,0,0,10
16:12:00,80.3306,Chicken,150,139,139,0,0,0,0,0,150,0,0,0,0,0,60,79,68,82,0,0,0,11
16:12:01,80.96272,Chicken,150,139,0,139,0,0,0,0,150,139,0,0,0,0,60,79,68,82,0,0,0,11
16:12:02,83.11464,Chicken,150,138,0,138,0,0,0,0,150,139,0,0,0,0,60,78,68,82,0,0,0,12
16:12:02,84.07001,Chicken,150,137,0,137,0,0,0,0,150,139,0,0,0,0,60,77,68,82,0,0,0,13
16:12:05,89.18173,Chicken,150,136,0,136,0,0,0,0,150,139,0,0,0,0,59,77,68,82,0,0,0,14
16:12:05,89.53709,Chicken,150,135,0,135,0,0,0,0,150,139,0,0,0,0,58,77,68,82,0,0,0,15
16:12:10,98.95479,Chicken,150,134,0,134,0,0,0,0,150,139,0,0,0,0,57,77,68,82,0,0,0,16
16:12:11,100.8834,Chicken,150,133,0,133,0,0,0,0,150,139,0,0,0,0,57,76,68,82,0,0,0,17
16:12:12,103.1157,Chicken,150,132,0,132,0,0,0,0,150,139,0,0,0,0,56,76,68,82,0,0,0,18
16:12:13,105.2587,Chicken,150,131,0,131,0,0,0,0,150,139,0,0,0,0,55,76,68,82,0,0,0,19
16:12:14,107.2953,Chicken,150,130,0,130,0,0,0,0,150,139,0,0,0,0,55,75,68,82,0,0,0,20
16:12:17,113.6482,Chicken,150,129,0,129,0,0,0,0,150,139,0,0,0,0,55,74,68,82,0,0,0,21
16:12:22,124.2343,Chicken,150,128,0,128,0,0,0,0,150,139,0,0,0,0,54,74,68,82,0,0,0,22
16:12:23,124.7101,Chicken,150,127,0,127,0,0,0,0,150,139,0,0,0,0,54,73,68,82,0,0,0,23
16:12:25,128.5407,Chicken,150,126,0,126,0,0,0,0,150,139,0,0,0,0,54,72,68,82,0,0,0,24
16:12:25,128.935,Chicken,150,125,0,125,0,0,0,0,150,139,0,0,0,0,53,72,68,82,0,0,0,25
16:12:25,130.3605,Chicken,150,124,0,124,0,0,0,0,150,139,0,0,0,0,53,71,68,82,0,0,0,26
16:12:26,131.2586,Chicken,150,123,0,123,0,0,0,0,150,139,0,0,0,0,52,71,68,82,0,0,0,27
16:12:26,131.4458,Chicken,150,122,0,122,0,0,0,0,150,139,0,0,0,0,51,71,68,82,0,0,0,28
16:12:27,132.4334,Chicken,150,121,0,121,0,0,0,0,150,139,0,0,0,0,50,71,68,82,0,0,0,29
16:12:28,134.7691,Chicken,150,120,0,120,0,0,0,0,150,139,0,0,0,0,50,70,68,82,0,0,0,30
16:12:28,135.0304,Chicken,150,119,0,119,0,0,0,0,150,139,0,0,0,0,50,69,68,82,0,0,0,31
16:12:28,135.8279,Chicken,150,118,0,118,0,0,0,0,150,139,0,0,0,0,50,68,68,82,0,0,0,32
16:12:29,136.4793,Chicken,150,117,0,117,0,0,0,0,150,139,0,0,0,0,50,67,68,82,0,0,0,33
16:12:32,142.5741,Chicken,150,116,0,116,0,0,0,0,150,139,0,0,0,0,50,66,68,82,0,0,0,34
16:12:34,147.6801,Chicken,150,115,0,115,0,0,0,0,150,139,0,0,0,0,50,65,68,82,0,0,0,35
16:12:34,148.0125,Chicken,150,114,0,114,0,0,0,0,150,139,0,0,0,0,50,64,68,82,0,0,0,36
16:12:37,153.5593,Chicken,150,113,0,113,0,0,0,0,150,139,0,0,0,0,50,63,68,82,0,0,0,37
16:12:38,155.9642,Chicken,150,113,0,0,113,0,0,0,150,139,113,0,0,0,50,63,68,82,0,0,0,37
16:12:55,189.7289,Chicken,150,112,0,0,112,0,0,0,150,139,113,0,0,0,49,63,68,82,0,0,0,38
16:13:00,198.463,Chicken,150,111,0,0,111,0,0,0,150,139,113,0,0,0,49,62,68,82,0,0,0,39
16:13:02,204.2686,Chicken,150,110,0,0,110,0,0,0,150,139,113,0,0,0,48,62,68,82,0,0,0,40
16:13:06,210.4321,Chicken,150,109,0,0,109,0,0,0,150,139,113,0,0,0,48,61,68,82,0,0,0,41
16:13:09,217.5607,Chicken,150,108,0,0,108,0,0,0,150,139,113,0,0,0,47,61,68,82,0,0,0,42
16:13:11,221.9427,Chicken,150,107,0,0,107,0,0,0,150,139,113,0,0,0,47,60,68,82,0,0,0,43
16:13:16,230.9687,Chicken,150,107,0,0,0,107,0,0,150,139,113,107,0,0,47,60,68,82,0,0,0,43
16:13:18,236.2019,Chicken,153,110,0,0,0,107,0,0,150,139,113,107,0,0,48,62,69,84,0,0,0,43
16:13:19,236.5892,Chicken,156,113,0,0,0,107,0,0,150,139,113,107,0,0,48,65,69,87,0,0,0,43
16:13:19,236.6859,Chicken,159,116,0,0,0,107,0,0,150,139,113,107,0,0,49,67,70,89,0,0,0,43
16:13:19,237.7605,Chicken,162,119,0,0,0,107,0,0,150,139,113,107,0,0,49,70,70,92,0,0,0,43
16:13:19,238.3526,Chicken,165,122,0,0,0,107,0,0,150,139,113,107,0,0,51,71,72,93,0,0,0,43
16:13:20,238.4534,Chicken,168,125,0,0,0,107,0,0,150,139,113,107,0,0,51,74,72,96,0,0,0,43
16:13:20,238.8998,Chicken,171,128,0,0,0,107,0,0,150,139,113,107,0,0,52,76,73,98,0,0,0,43
16:13:20,239.2467,Chicken,171,127,0,0,0,106,0,0,150,139,113,107,0,0,52,75,73,98,0,0,0,44
16:13:21,240.9044,Chicken,174,130,0,0,0,106,0,0,150,139,113,107,0,0,55,75,76,98,0,0,0,44
16:13:21,241.5457,Chicken,177,133,0,0,0,106,0,0,150,139,113,107,0,0,56,77,77,100,0,0,0,44
16:13:21,241.8717,Chicken,180,136,0,0,0,106,0,0,150,139,113,107,0,0,58,78,79,101,0,0,0,44
16:13:22,242.6102,Chicken,183,139,0,0,0,106,0,0,150,139,113,107,0,0,60,79,81,102,0,0,0,44
16:13:22,243.6686,Chicken,183,139,3,0,0,106,0,0,153,139,113,107,0,0,60,79,81,102,0,0,0,44
16:13:22,244.0724,Chicken,183,139,6,0,0,106,0,0,156,139,113,107,0,0,60,79,81,102,0,0,0,44
16:13:22,244.1642,Chicken,183,139,9,0,0,106,0,0,159,139,113,107,0,0,60,79,81,102,0,0,0,44
16:13:23,244.647,Chicken,186,142,9,0,0,106,0,0,159,139,113,107,0,0,61,81,82,104,0,0,0,44
16:13:23,245.2483,Chicken,186,142,12,0,0,106,0,0,162,139,113,107,0,0,61,81,82,104,0,0,0,44
16:13:23,245.8263,Chicken,186,142,15,0,0,106,0,0,165,139,113,107,0,0,61,81,82,104,0,0,0,44
16:13:23,245.9662,Chicken,186,142,18,0,0,106,0,0,168,139,113,107,0,0,61,81,82,104,0,0,0,44
16:13:23,246.2754,Chicken,189,145,18,0,0,106,0,0,168,139,113,107,0,0,62,83,83,106,0,0,0,44
16:13:23,246.3686,Chicken,189,145,21,0,0,106,0,0,171,139,113,107,0,0,62,83,83,106,0,0,0,44
16:13:25,248.3885,Chicken,189,145,24,0,0,106,0,0,174,139,113,107,0,0,62,83,83,106,0,0,0,44
16:13:25,249.0025,Chicken,189,145,27,0,0,106,0,0,177,139,113,107,0,0,62,83,83,106,0,0,0,44
16:13:25,249.3792,Chicken,189,145,30,0,0,106,0,0,180,139,113,107,0,0,62,83,83,106,0,0,0,44
16:13:25,250.086,Chicken,189,145,33,0,0,106,0,0,183,139,113,107,0,0,62,83,83,106,0,0,0,44
16:13:26,251.0022,Chicken,192,148,33,0,0,106,0,0,183,139,113,107,0,0,64,84,85,107,0,0,0,44
16:13:26,252.1445,Chicken,192,148,36,0,0,106,0,0,186,139,113,107,0,0,64,84,85,107,0,0,0,44
16:13:27,253.7484,Chicken,192,148,39,0,0,106,0,0,189,139,113,107,0,0,64,84,85,107,0,0,0,44
16:13:29,256.4609,Chicken,195,151,39,0,0,106,0,0,189,139,113,107,0,0,64,87,85,110,0,0,0,44
16:13:30,258.4842,Chicken,195,151,42,0,0,106,0,0,192,139,113,107,0,0,64,87,85,110,0,0,0,44
16:13:30,260.127,Chicken,198,154,42,0,0,106,0,0,192,139,113,107,0,0,64,90,85,113,0,0,0,44
16:13:32,263.072,Chicken,201,157,42,0,0,106,0,0,192,139,113,107,0,0,67,90,88,113,0,0,0,44
16:13:32,263.918,Chicken,201,157,45,0,0,106,0,0,195,139,113,107,0,0,67,90,88,113,0,0,0,44
