System Time:,Simulation Time:,Generation,SPEED,SpeedMutationType,SpeedMutationProbability,SpeedMutationMinMaxChange,SpeedCominantRecessiveInheritancePriority,SpeedDominantOriginal,SpeedRecessiceOriginal,SpeedMutationValue,SpeedMutationResult,SpeedDominant,SpeedRecessice,SpeedFather,SpeedMother,SpeedComparedToFather,SpeedComparedToMother,METABOLISM,MetabolismMutationType,MetabolismMutationProbability,MetabolismMutationMinMaxChange,MetabolismCominantRecessiveInheritancePriority,MetabolismDominantOriginal,MetabolismRecessiceOriginal,MetabolismMutationValue,MetabolismMutationResult,MetabolismDominant,MetabolismRecessice,MetabolismFather,MetabolismMother,MetabolismComparedToFather,MetabolismComparedToMother,REPRODUCTIONRATE,ReproductionRateMutationType,ReproductionRateMutationProbability,ReproductionRateMutationMinMaxChange,ReproductionRateCominantRecessiveInheritancePriority,ReproductionRateDominantOriginal,ReproductionRateRecessiceOriginal,ReproductionRateMutationValue,ReproductionRateMutationResult,ReproductionRateDominant,ReproductionRateRecessice,ReproductionRateFather,ReproductionRateMother,ReproductionRateComparedToFather,ReproductionRateComparedToMother,ATTRIBUTES AT NEWBORN,Speed,Hunger,Thirst,ViewRadius,PregnancyTime
0.251516203703704,216.3677,1,SPEED,Random,1,-0.15_0.15,Bigger,0,-0.05031158,0.1491563,None,0,-0.05031158,0,-0.05031158,0,0.05031158,METABOLISM,Random,1,-0.1_0.1,Lower,0,0.0005415082,0.01901735,None,0,0.0005415082,0.0005415082,0,-0.0005415082,0,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,-0.3806562,0,0.2890551,Dominant,-0.09160107,0,-0.2356649,-0.3806562,0.1440639,0.2890551,ATTRIBUTES,3.3,1,1,19,114.9084
0.251516203703704,216.3677,1,SPEED,Random,1,-0.15_0.15,Bigger,0,-0.05031158,0.1358903,Dominant and Recessive,0.1358903,0.08557869,0,-0.05031158,0.1358903,0.1862019,METABOLISM,Random,1,-0.1_0.1,Lower,0,0.0005415082,0.09681154,Dominant and Recessive,0.09681154,0.09735305,0.0005415082,0,0.09627003,0.09681154,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,-0.3806562,0,-0.2305192,None,-0.3806562,0,-0.2356649,-0.3806562,-0.1449912,0,ATTRIBUTES,3.43589,1.096812,1.096812,19,114.6193
0.251516203703704,216.3677,1,SPEED,Random,1,-0.15_0.15,Bigger,0,-0.05031158,-0.01403642,Dominant and Recessive,-0.01403642,-0.064348,0,-0.05031158,-0.01403642,0.03627516,METABOLISM,Random,1,-0.1_0.1,Lower,0,0.0005415082,-0.0448145,Recessive,0,-0.044273,0.0005415082,0,-0.0005415082,0,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,-0.3806562,0,-0.08407903,Recessive,-0.3806562,-0.08407903,-0.2356649,-0.3806562,-0.1449912,0,ATTRIBUTES,3.285964,1,1,19,114.6193
0.251516203703704,216.6677,1,SPEED,Random,1,-0.15_0.15,Bigger,0,-0.1090519,-0.02822702,Dominant and Recessive,-0.02822702,-0.1372789,-0.1090519,-0.04631616,0.08082484,0.01808914,METABOLISM,Random,1,-0.1_0.1,Lower,0.04674482,0.08393424,-0.07702007,Recessive,0.04674482,0.006914169,0.04674482,0.08393424,0,-0.03718942,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,0,0.2876205,0.1020875,Dominant,0.1020875,0.2876205,0.2876205,-0.2379551,-0.185533,0.3400426,ATTRIBUTES,3.271773,1.046745,1.046745,19,115.1021
0.251516203703704,216.6677,1,SPEED,Random,1,-0.15_0.15,Bigger,0,-0.1090519,-0.03300506,None,0,-0.1090519,-0.1090519,-0.04631616,0.1090519,0.04631616,METABOLISM,Random,1,-0.1_0.1,Lower,0.04674482,0.08393424,-0.03177999,Dominant,0.01496483,0.08393424,0.04674482,0.08393424,-0.03177999,-0.06896941,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,0,0.2876205,0.005024374,Recessive,0,0.2926448,0.2876205,-0.2379551,-0.2876205,0.2379551,ATTRIBUTES,3.3,1.014965,1.014965,19,115
0.251516203703704,216.6677,1,SPEED,Random,1,-0.15_0.15,Bigger,0,-0.1090519,0.0303942,Recessive,0,-0.07865766,-0.1090519,-0.04631616,0.1090519,0.04631616,METABOLISM,Random,1,-0.1_0.1,Lower,0.04674482,0.08393424,-0.0335873,Recessive,0.04674482,0.05034694,0.04674482,0.08393424,0,-0.03718942,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,0,0.2876205,-0.1280804,None,0,0.2876205,0.2876205,-0.2379551,-0.2876205,0.2379551,ATTRIBUTES,3.3,1.046745,1.046745,19,115
0.251527777777778,217.2677,1,SPEED,Random,1,-0.15_0.15,Bigger,0.1169281,0,0.1121714,None,0.1169281,0,-0.1219042,0.1169281,0.2388323,0,METABOLISM,Random,1,-0.1_0.1,Lower,-0.06520674,0,-0.08508248,Dominant and Recessive,-0.1502892,-0.08508248,0,0,-0.1502892,-0.1502892,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,-0.02712482,0,0.088631,Dominant,0.06150618,0,0,-0.02712482,0.06150618,0.088631,ATTRIBUTES,3.416928,0.8497108,0.8497108,19,115.0615
0.251527777777778,217.2677,1,SPEED,Random,1,-0.15_0.15,Bigger,0.1169281,0,0.1240529,Dominant,0.240981,0,-0.1219042,0.1169281,0.3628852,0.1240529,METABOLISM,Random,1,-0.1_0.1,Lower,-0.06520674,0,0.05879221,Dominant,-0.006414536,0,0,0,-0.006414536,-0.006414536,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,-0.02712482,0,-0.07551369,Recessive,-0.02712482,-0.07551369,0,-0.02712482,-0.02712482,0,ATTRIBUTES,3.540981,0.9935855,0.9935855,19,114.9729
0.251527777777778,217.2677,1,SPEED,Random,1,-0.15_0.15,Bigger,0.1169281,0,0.1032419,Recessive,0.1169281,0.1032419,-0.1219042,0.1169281,0.2388323,0,METABOLISM,Random,1,-0.1_0.1,Lower,-0.06520674,0,-0.06785911,None,-0.06520674,0,0,0,-0.06520674,-0.06520674,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,-0.02712482,0,0.2274303,Dominant,0.2003055,0,0,-0.02712482,0.2003055,0.2274303,ATTRIBUTES,3.416928,0.9347932,0.9347932,19,115.2003
0.251527777777778,217.8677,1,SPEED,Random,1,-0.15_0.15,Bigger,0.1120445,0.09670319,0.09349626,Dominant,0.2055407,0.09670319,0.09670319,0,0.1088376,0.2055407,METABOLISM,Random,1,-0.1_0.1,Lower,0,0.008627497,0.03098919,Dominant and Recessive,0.03098919,0.03961669,0.008627497,0,0.02236169,0.03098919,REPRODUCTIONRATE,Random,1,-0.4_0.4,Lower,-0.2920955,0,-0.2664644,Dominant,-0.5585599,0,-0.2920955,0,-0.2664644,-0.5585599,ATTRIBUTES,3.505541,1.030989,1.030989,19,114.4414
