,,Chicken,SpeedInheritedDominant,SpeedInheritedRecessive,SpeedInheritedAVG,SpeedMutationValue,SpeedDominant,SpeedRecessive,SpeedAVG,FatherSpeed,MotherSpeed,SpeedParentsAVG,MetabolismInheritedDominant,MetabolismInheritedRecessive,MetabolismInheritedAVG,MetabolismMutationValue,MetabolismDominant,MetabolismRecessive,MetabolismAVG,MetabolismFather,MetabolismMother,MetabolismParentsAVG,ReproductionInheritedDominant,ReproductionInheritedRecessive,ReproductionInheritedAVG,ReproductionMutationValue,ReproductionDominant,ReproductionRecessive,ReproductionAVG,ReproductionFather,ReproductionMother,ReproductionParentsAVG,,SpeedComparedToParents,MetabloismComparedToParents,ReproductionComparedToParents
>=1,<2,1-2,0.0381378865843137,-0.0402172510784314,-0.00103968224705887,-0.00165765740313725,0.0336895705266666,-0.0398982105466667,-0.00310432001000002,0.00633784920000001,0.015813071882353,0.00633784920000001,0.0258443441607843,-0.0252322023894118,0.000306070885686268,0.00196909491803922,0.0273155047039216,-0.0261456815298039,0.000584911587058817,0.00100123354235294,0.00624561150352941,0.00100123354235294,0.102595176210588,-0.0975749973580391,0.00251008942627459,-0.00106288063137255,0.114346325430196,-0.0881518406439215,0.0130972423931373,0.0870679319752941,-0.00782913357882352,-0.00782913357882352,,0.0273517213266666,0.0263142711615686,0.12217545900902
>=2,<3,2-3,0.0592419626776666,-0.04852251264,0.00535972501883332,0.001868777725,0.0590524929606666,-0.0477445231775,0.00565398489158332,0.050914953238,0.0357752860815,0.0357752860815,0.0434436862561668,-0.0284814690971666,0.00748110857950006,-0.00253939928366166,0.0434018550235167,-0.0293528486869666,0.00702450316827505,0.03505690448465,0.0322226015240001,0.0322226015240001,0.217764106292833,-0.108360729872167,0.0547016882103334,0.00405010821499999,0.218749470767667,-0.103666971359333,0.0575412497041667,0.181089374779,0.1566677833545,0.1566677833545,,0.0232772068791667,0.0111792534995167,0.062081687413167
>=3,<4,3-4,0.0665017515705973,-0.0483370255816038,0.00908236299449675,-0.00314661970361634,0.0648391679985848,-0.0497868505829481,0.00752615870781833,0.0571947472415091,0.0615441915900943,0.0571947472415091,0.0508732702258648,-0.0356831540189622,0.00759505810345128,0.00157314828616352,0.0510664989403931,-0.0351308905118082,0.00796780421429246,0.0424696458325001,0.0473871790056132,0.0424696458325001,0.192887886630896,-0.136861478518554,0.0280132040561713,-0.00324616446446541,0.20150256103522,-0.131800790059827,0.0348508854876965,0.179334046049764,0.195552492438208,0.179334046049764,,0.00764442075707573,0.00859685310789301,0.0221685149854563
>=4,<5,4-5,0.0751036606257288,-0.0623698067243767,0.00636692695067605,0.000256535527534012,0.07340266363891,-0.062187843477313,0.00560741008079851,0.0574801522537389,0.0685850254798479,0.0574801522537389,0.054263768188796,-0.0390988343998817,0.00758246689445716,0.00115974126102662,0.0555799076631517,-0.038818221405488,0.00838084312883187,0.0466725900167301,0.0585663289269961,0.0466725900167301,0.218473392899451,-0.173582757632109,0.022445317633671,-0.00178889458994508,0.218543683658935,-0.172868976026996,0.0228373538159693,0.179430428467934,0.217690509015083,0.179430428467934,,0.0159225113851711,0.00890731764642159,0.0391132551910011
>=5,<6,5-6,0.0764557085401972,-0.0770213510956023,-0.00028282127770253,-0.00169740831588656,0.0765254517429101,-0.0779183480063708,-0.000696448131730379,0.0691281981050554,0.0730562218220716,0.0691281981050554,0.0589074753314919,-0.0535534265909903,0.0026770243702508,-0.000790377050184137,0.0587665817409042,-0.0540295086669049,0.00236853653699967,0.0518279252485822,0.0545400559247842,0.0518279252485822,0.237521193919483,-0.201924158566544,0.0177985176764692,-0.00139372668298397,0.240869859651624,-0.204714003851994,0.0180779278998151,0.203090020002959,0.222889975509988,0.203090020002959,,0.00739725363785469,0.00693865649232207,0.0377798396486654
>=6,<7,6-7,0.0897721923688947,-0.0882915892595894,0.000740301554652635,-0.00028011413542595,0.0891086637101355,-0.0858964288402796,0.00160611743492797,0.0805381875266054,0.0812529087005247,0.0805381875266054,0.0741606938418262,-0.0474287200824377,0.0133659868796943,0.00027006873301442,0.0738977772558234,-0.0472949818953866,0.0133013976802184,0.0752545101780343,0.0662806004612581,0.0662806004612581,0.275418707749236,-0.21911201235806,0.0281533476955879,-0.00387940722714723,0.274997676704981,-0.220237251946789,0.0273802123790959,0.259422271611796,0.252034149841416,0.252034149841416,,0.0085704761835301,0.00761717679456536,0.0229635268635644
>=7,<8,7-8,0.0964414399188495,-0.0969450099521313,-0.000251785016640915,0.0010217531792943,0.0990632894053415,-0.0958060444054596,0.00162862249994097,0.0875549516228044,0.0982192236979969,0.0875549516228044,0.072601540154525,-0.0509627113618388,0.0108194143963431,-0.000958705647699021,0.0714368833375552,-0.0512442950971855,0.0100962941201849,0.0787098107693991,0.0704701189710016,0.0704701189710016,0.277740453263379,-0.232611906860811,0.0225642732012841,-0.00646836607688753,0.277729228705341,-0.230333722003595,0.0236977533508733,0.290982689246534,0.265366297992296,0.265366297992296,,0.0115083377825371,0.000966764366553644,0.0123629307130452
>=8,<9,8-9,0.103348978051701,-0.102577649963014,0.000385664044343335,-0.00199505330667347,0.100783788975714,-0.103440390116354,-0.00132830057031994,0.0968838698122448,0.103219669978776,0.0968838698122448,0.0813316025930611,-0.0561266963929935,0.0126024531000338,0.00231361710381632,0.0822572949829523,-0.0544860783729933,0.0138856083049795,0.084415847840204,0.0713871050210203,0.0713871050210203,0.300541949034013,-0.25608140628653,0.0222302713737413,0.00493939000265307,0.301470104032108,-0.257314919919796,0.0220775920561561,0.276691232611429,0.299403014169388,0.276691232611429,,0.00389991916346949,0.0108701899619319,0.0247788714206799
>=9,<10,9-10,0.0980414430990813,-0.0985564787330706,-0.000257517816994665,-2.69492278543302E-05,0.0994684056761576,-0.0990181262370734,0.000225139719542133,0.0875727286122047,0.0983717301692915,0.0875727286122047,0.0918398761375391,-0.0509038455582678,0.0204680152896357,-0.000146595784606298,0.091789100014324,-0.0514615773056693,0.0201637613543273,0.0854991224959446,0.0865705094748227,0.0854991224959446,0.316162102097769,-0.249539997186221,0.0333110524557738,-0.00450585246686352,0.315735947137336,-0.252524034037139,0.0316059565500985,0.295637469519684,0.323666616645078,0.295637469519684,,0.0118956770639529,0.00628997751837936,0.0200984776176519
>=10,<11,10-11,0.102072887536596,-0.107907779977159,-0.00291744622028153,-0.000762162513371724,0.102596994165579,-0.109840697086756,-0.00362185146058853,0.111245904195778,0.0960548108790593,0.0960548108790593,0.0981140287640432,-0.0548565675701217,0.0216287305969608,-0.000519783606180423,0.0985065239771592,-0.0559722572437172,0.021267133366721,0.103078459522073,0.0929206036633395,0.0929206036633395,0.32513499752073,-0.269732081984261,0.0277014577682345,-0.00161364250243122,0.32512260064261,-0.273383922545426,0.0258693390485924,0.338457697953934,0.309617913054511,0.309617913054511,,0.0065421832865198,0.00558592031381971,0.0155046875880998
