,,Chicken,SpeedInheritedDominant,SpeedInheritedRecessive,SpeedInheritedAVG,SpeedMutationValue,SpeedDominant,SpeedRecessive,SpeedAVG,FatherSpeed,MotherSpeed,SpeedParentsAVG,MetabolismInheritedDominant,MetabolismInheritedRecessive,MetabolismInheritedAVG,MetabolismMutationValue,MetabolismDominant,MetabolismRecessive,MetabolismAVG,MetabolismFather,MetabolismMother,MetabolismParentsAVG,ReproductionInheritedDominant,ReproductionInheritedRecessive,ReproductionInheritedAVG,ReproductionMutationValue,ReproductionDominant,ReproductionRecessive,ReproductionAVG,ReproductionFather,ReproductionMother,ReproductionParentsAVG
>=1,<2,1-2,0.0315464558333333,-0.0542959366666667,-0.0113747404166667,-0.0220143917857143,0.0150079120714286,-0.0661161116309524,-0.0255540997797619,0.0144742954761905,-0.0214850407142857,-0.00350537261904762,0.0125507534761905,-0.0194636530952381,-0.00345644980952381,-0.000869952383690477,0.0129686673392857,-0.0190540786813095,-0.0030427056710119,-0.0077465580952381,0.00314160302380952,-0.00230247753571429,0.0278483280952381,-0.0789396658333333,-0.0255456688690476,-0.00728748178452381,0.0178889657142857,-0.087708740775,-0.0349098875303572,-0.00912598714285715,-0.0145558747619048,-0.011840930952381
>=2,<3,2-3,0.0581227324117647,-0.0948588711764707,-0.018368069382353,0.0105570176764706,0.0622593139264706,-0.0910063830147058,-0.0143735345441176,0.0700131092352941,-0.0099925511764706,0.0300102790294117,0.0215451909779412,-0.0260928035955882,-0.00227380630882353,-0.00128364124264706,0.0205263844852941,-0.0283491126308823,-0.00391136407279412,0.00924654883823529,0.00929189175,0.00926922029411764,0.0576205520279412,-0.0744492695588235,-0.00841435876544114,-0.0156986437058824,0.0546021896389706,-0.0782492065769118,-0.0118235084689706,0.0363322610294118,0.0466458272058824,0.0414890441176471
>=3,<4,3-4,0.0886484477058824,-0.113298708166667,-0.0123251302303921,-0.00473085644117647,0.0970239385,-0.110565987186275,-0.00677102434313726,0.088244824627451,0.0487288293137255,0.0684868269705882,0.0285629215490196,-0.0417230383333333,-0.00658005839215687,-0.00230046775490196,0.0235417409578431,-0.0438388804607843,-0.0101485697514706,0.0270983682745098,0.00729994237254902,0.0171991553235294,0.0669957281862745,-0.121531940872549,-0.0272681063431373,0.00867384008823529,0.0706751614215686,-0.114844890058823,-0.0220848643186274,0.0101236742156863,0.062976662509804,0.0365501683627451
>=4,<5,4-5,0.114504308125,-0.1698851475,-0.0276904196875,-0.02081913734375,0.1072402416875,-0.1965714259375,-0.044665592125,0.139898076375,0.0852450689375,0.11257157265625,0.0441860300625,-0.011025418,0.01658030603125,0.01620599146875,0.056664317375,-1.72179437499983E-05,0.028323549715625,0.0373919026875,0.045630442625,0.04151117265625,0.11327760375,-0.11835098375,-0.00253669000000001,0.0200952165625,0.108509754,-0.1234280153125,-0.00745913065624999,0.1443360174375,0.0405504175,0.09244321746875
>=5,<6,5-6,0.09475532485,-0.08795293095,0.00340119695,-0.05153257415,0.0961920684,-0.123914429,-0.0138611803,0.1483226894,0.1529779654,0.1506503274,0.0727626455,-0.00506029585,0.033851174825,0.01495249354,0.076150895,-0.00425284855,0.035949023225,0.075258671,0.0565764791,0.06591757505,0.079186268,-0.076752201,0.0012170335,-0.02337897775,0.0712307165,-0.054514164,0.00835827625000001,0.14296966,0.030252428,0.086611044
>=6,<7,6-7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
>=7,<8,7-8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
>=8,<9,8-9,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
>=9,<10,9-10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
>=10,<11,10-11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
