System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
6:00:56,19.7019,Chicken,150,150,0,0,0,0,0,0,0,0,0,0,0,0,88,62,88,62,0,0,0,0
6:01:00,27.334,Chicken,150,150,150,0,0,0,0,0,150,0,0,0,0,0,88,62,88,62,0,0,0,0
6:01:11,58.24118,Chicken,150,149,149,0,0,0,0,0,150,0,0,0,0,0,88,61,88,62,0,0,0,1
6:01:14,68.65324,Chicken,150,148,148,0,0,0,0,0,150,0,0,0,0,0,87,61,88,62,0,0,0,2
6:01:16,73.43453,Chicken,150,147,147,0,0,0,0,0,150,0,0,0,0,0,86,61,88,62,0,0,0,3
6:01:17,76.15704,Chicken,150,146,146,0,0,0,0,0,150,0,0,0,0,0,85,61,88,62,0,0,0,4
6:01:21,89.18582,Chicken,150,145,145,0,0,0,0,0,150,0,0,0,0,0,84,61,88,62,0,0,0,5
6:01:23,94.78122,Chicken,150,145,0,145,0,0,0,0,150,145,0,0,0,0,84,61,88,62,0,0,0,5
6:01:30,115.7848,Chicken,150,144,0,144,0,0,0,0,150,145,0,0,0,0,83,61,88,62,0,0,0,6
6:01:33,124.4512,Chicken,150,143,0,143,0,0,0,0,150,145,0,0,0,0,82,61,88,62,0,0,0,7
6:01:34,125.355,Chicken,150,142,0,142,0,0,0,0,150,145,0,0,0,0,82,60,88,62,0,0,0,8
6:01:37,136.4839,Chicken,150,141,0,141,0,0,0,0,150,145,0,0,0,0,81,60,88,62,0,0,0,9
6:01:40,144.8105,Chicken,150,140,0,140,0,0,0,0,150,145,0,0,0,0,80,60,88,62,0,0,0,10
6:01:41,148.1155,Chicken,150,139,0,139,0,0,0,0,150,145,0,0,0,0,79,60,88,62,0,0,0,11
6:01:42,149.7776,Chicken,150,138,0,138,0,0,0,0,150,145,0,0,0,0,79,59,88,62,0,0,0,12
6:01:42,150.0907,Chicken,150,137,0,137,0,0,0,0,150,145,0,0,0,0,79,58,88,62,0,0,0,13
6:01:43,151.9782,Chicken,150,136,0,136,0,0,0,0,150,145,0,0,0,0,79,57,88,62,0,0,0,14
6:01:43,153.0938,Chicken,150,135,0,135,0,0,0,0,150,145,0,0,0,0,79,56,88,62,0,0,0,15
6:01:51,169.7934,Chicken,150,135,0,0,135,0,0,0,150,145,135,0,0,0,79,56,88,62,0,0,0,15
6:01:54,178.1316,Chicken,150,134,0,0,134,0,0,0,150,145,135,0,0,0,78,56,88,62,0,0,0,16
