System Time:,Simulation Time:,VegetableType:,CurrentNumber:
6:00:45,10.00014,Grain,1
6:00:58,20.0019,Grain,182
6:01:01,30.11574,Grain,183
6:01:05,40.12805,Grain,184
6:01:08,50.13286,Grain,185
6:01:11,60.2477,Grain,186
6:01:15,70.33101,Grain,187
6:01:18,80.33673,Grain,188
6:01:22,90.42439,Grain,189
6:01:25,100.5846,Grain,190
6:01:29,110.6444,Grain,191
6:01:32,120.7511,Grain,192
6:01:35,130.7651,Grain,193
6:01:39,140.9577,Grain,194
6:01:42,151.115,Grain,195
6:01:47,161.1401,Grain,196
6:01:51,171.2576,Grain,197
6:01:55,181.4166,Grain,198
6:01:59,191.6501,Grain,199
6:02:02,201.7764,Grain,200
6:02:07,211.9457,Grain,201
6:02:14,222.0197,Grain,202
6:02:21,232.2835,Grain,203
6:02:27,242.423,Grain,204
6:02:33,252.429,Grain,203
6:02:39,262.5458,Grain,202
6:02:46,272.5918,Grain,198
6:02:53,282.6569,Grain,197
6:03:00,292.8569,Grain,195
6:03:07,303.0569,Grain,194
6:03:15,313.2569,Grain,192
6:03:24,323.4569,Grain,189
6:03:29,333.5736,Grain,189
6:03:34,343.6836,Grain,190
6:03:39,353.8836,Grain,189
6:03:44,364.0836,Grain,190
6:03:53,374.2836,Grain,187
6:04:02,384.4836,Grain,188
6:04:10,394.6836,Grain,187
6:04:19,404.8836,Grain,187
6:04:28,415.0836,Grain,184
6:04:36,425.2836,Grain,185
6:04:48,435.4836,Grain,183
6:05:02,445.6836,Grain,181
6:05:14,455.8836,Grain,179
6:05:22,466.0836,Grain,179
6:05:29,476.2836,Grain,177
6:05:37,486.4836,Grain,173
6:05:46,496.6836,Grain,169
6:05:55,506.8836,Grain,167
6:06:04,517.0836,Grain,164
6:06:13,527.2836,Grain,162
6:06:22,537.4836,Grain,160
6:06:29,547.6836,Grain,155
6:06:37,557.8836,Grain,155
6:06:45,568.0836,Grain,152
6:06:54,578.2836,Grain,150
6:07:02,588.4836,Grain,149
6:07:11,598.6836,Grain,146
6:07:20,608.8836,Grain,145
6:07:28,619.0836,Grain,143
6:07:36,629.2836,Grain,142
6:07:45,639.4836,Grain,138
6:07:54,649.6836,Grain,132
6:08:03,659.8836,Grain,130
6:08:12,670.0836,Grain,129
6:08:22,680.2836,Grain,123
6:08:32,690.4836,Grain,119
6:08:42,700.6837,Grain,116
6:08:52,710.8836,Grain,111
6:09:03,721.0836,Grain,111
6:09:14,731.2836,Grain,107
6:09:28,741.4836,Grain,106
6:09:44,751.6837,Grain,106
6:10:00,761.8836,Grain,100
6:10:15,772.0836,Grain,97
6:10:30,782.2836,Grain,92
6:10:46,792.4836,Grain,89
6:11:03,802.6837,Grain,87
6:11:21,812.8836,Grain,80
6:11:38,823.0836,Grain,78
6:11:57,833.2836,Grain,72
6:12:15,843.4836,Grain,69
6:12:34,853.6837,Grain,64
6:12:54,863.8836,Grain,57
6:13:15,874.0836,Grain,57
6:13:35,884.2836,Grain,56
6:13:57,894.4836,Grain,54
6:14:19,904.6837,Grain,53
6:14:41,914.8836,Grain,50
6:15:05,925.0836,Grain,46
6:15:29,935.2836,Grain,44
6:15:54,945.4836,Grain,42
6:16:18,955.6837,Grain,42
6:16:43,965.8836,Grain,39
6:17:09,976.0836,Grain,37
6:17:35,986.2836,Grain,34
6:18:02,996.4836,Grain,31
6:18:28,1006.684,Grain,28
6:18:55,1016.884,Grain,26
6:19:22,1027.084,Grain,26
6:19:50,1037.284,Grain,23
6:20:20,1047.484,Grain,22
6:20:48,1057.684,Grain,21
6:21:16,1067.884,Grain,21
6:21:45,1078.084,Grain,20
6:22:15,1088.284,Grain,20
6:22:45,1098.484,Grain,21
6:23:15,1108.684,Grain,22
6:23:46,1118.884,Grain,19
6:24:16,1129.084,Grain,17
6:24:47,1139.284,Grain,16
6:25:19,1149.484,Grain,15
6:25:49,1159.684,Grain,14
6:26:19,1169.884,Grain,14
6:26:49,1180.084,Grain,13
6:27:20,1190.284,Grain,14
6:27:49,1200.484,Grain,15
6:28:20,1210.684,Grain,15
6:28:51,1220.884,Grain,15
6:29:22,1231.084,Grain,15
6:29:55,1241.284,Grain,14
6:30:29,1251.484,Grain,14
6:31:00,1261.684,Grain,15
6:31:32,1271.884,Grain,14
6:32:04,1282.084,Grain,13
6:32:36,1292.284,Grain,12
6:33:09,1302.484,Grain,11
6:33:42,1312.684,Grain,12
6:34:14,1322.884,Grain,11
6:34:47,1333.084,Grain,11
6:35:22,1343.284,Grain,12
6:35:56,1353.484,Grain,10
6:36:30,1363.684,Grain,11
6:37:05,1373.884,Grain,11
6:37:39,1384.084,Grain,11
6:38:12,1394.284,Grain,11
6:38:46,1404.484,Grain,9
6:39:20,1414.684,Grain,9
6:39:54,1424.884,Grain,10
6:40:30,1435.084,Grain,10
6:41:04,1445.284,Grain,10
6:41:38,1455.484,Grain,9
6:42:13,1465.684,Grain,8
6:42:48,1475.884,Grain,7
6:43:24,1486.084,Grain,8
6:44:00,1496.284,Grain,7
6:44:36,1506.484,Grain,6
6:45:12,1516.684,Grain,6
6:45:50,1526.884,Grain,7
6:46:26,1537.084,Grain,7
6:47:03,1547.284,Grain,8
6:47:40,1557.484,Grain,9
6:48:17,1567.684,Grain,9
6:48:55,1577.884,Grain,9
6:49:33,1588.084,Grain,8
6:50:11,1598.284,Grain,7
6:50:50,1608.484,Grain,6
6:51:28,1618.684,Grain,7
6:52:05,1628.884,Grain,8
6:52:43,1639.084,Grain,9
6:53:21,1649.284,Grain,10
6:53:59,1659.484,Grain,11
6:54:38,1669.684,Grain,11
6:55:16,1679.884,Grain,9
6:55:56,1690.084,Grain,9
6:56:36,1700.284,Grain,9
6:57:16,1710.484,Grain,10
6:57:57,1720.684,Grain,9
6:58:37,1730.884,Grain,10
6:59:17,1741.084,Grain,10
6:59:58,1751.284,Grain,11
7:00:39,1761.484,Grain,11
7:01:20,1771.684,Grain,10
7:02:00,1781.884,Grain,11
7:02:39,1792.084,Grain,12
7:03:18,1802.284,Grain,11
7:03:58,1812.484,Grain,11
7:04:38,1822.684,Grain,12
7:05:18,1832.884,Grain,12
7:06:00,1843.084,Grain,13
7:06:40,1853.284,Grain,12
7:07:21,1863.484,Grain,13
7:08:02,1873.684,Grain,13
7:08:42,1883.884,Grain,13
7:09:22,1894.084,Grain,13
7:10:04,1904.284,Grain,12
7:10:45,1914.484,Grain,13
7:11:28,1924.684,Grain,12
7:12:11,1934.884,Grain,12
7:12:54,1945.084,Grain,13
7:13:37,1955.284,Grain,14
7:14:21,1965.484,Grain,13
7:15:06,1975.684,Grain,10
7:15:49,1985.884,Grain,11
7:16:34,1996.084,Grain,12
7:17:19,2006.284,Grain,11
7:18:03,2016.484,Grain,12
7:18:46,2026.684,Grain,13
7:19:29,2036.884,Grain,13
7:20:12,2047.084,Grain,14
7:20:54,2057.284,Grain,14
7:21:38,2067.484,Grain,14
7:22:22,2077.684,Grain,15
7:23:06,2087.884,Grain,16
7:23:50,2098.084,Grain,16
7:24:34,2108.284,Grain,17
7:25:19,2118.484,Grain,16
7:26:05,2128.684,Grain,16
7:26:50,2138.884,Grain,17
7:27:36,2149.084,Grain,18
7:28:22,2159.284,Grain,19
7:29:08,2169.484,Grain,17
7:29:55,2179.684,Grain,17
7:30:41,2189.884,Grain,17
7:31:29,2200.084,Grain,18
7:32:15,2210.284,Grain,19
7:33:00,2220.484,Grain,20
7:33:45,2230.684,Grain,20
7:34:30,2240.884,Grain,17
7:35:16,2251.084,Grain,17
7:36:03,2261.284,Grain,18
7:36:51,2271.484,Grain,17
7:37:37,2281.684,Grain,17
7:38:22,2291.884,Grain,18
7:39:07,2302.084,Grain,19
7:39:53,2312.284,Grain,17
7:40:39,2322.484,Grain,18
7:41:27,2332.684,Grain,18
7:42:13,2342.884,Grain,19
7:43:01,2353.084,Grain,18
7:43:49,2363.284,Grain,19
7:44:38,2373.484,Grain,19
7:45:26,2383.684,Grain,19
7:46:16,2393.884,Grain,19
7:47:08,2404.084,Grain,19
7:47:58,2414.284,Grain,20
7:48:48,2424.484,Grain,21
7:49:38,2434.684,Grain,19
7:50:28,2444.884,Grain,18
7:51:18,2455.084,Grain,17
7:52:09,2465.284,Grain,18
7:52:59,2475.484,Grain,16
7:53:51,2485.684,Grain,16
7:54:43,2495.884,Grain,17
7:55:33,2506.084,Grain,18
7:56:25,2516.284,Grain,19
7:57:17,2526.484,Grain,18
7:58:09,2536.684,Grain,19
7:59:01,2546.884,Grain,19
7:59:54,2557.084,Grain,19
8:00:48,2567.284,Grain,20
8:01:44,2577.484,Grain,20
8:02:37,2587.684,Grain,21
8:03:32,2597.884,Grain,21
8:04:27,2608.084,Grain,19
8:05:22,2618.284,Grain,20
8:06:16,2628.484,Grain,20
8:07:13,2638.684,Grain,20
8:08:07,2648.884,Grain,21
8:09:03,2659.084,Grain,20
8:09:57,2669.284,Grain,21
8:10:53,2679.484,Grain,21
8:11:47,2689.684,Grain,22
8:12:41,2699.884,Grain,21
8:13:36,2710.084,Grain,22
8:14:30,2720.284,Grain,23
8:15:25,2730.484,Grain,24
8:16:18,2740.684,Grain,24
8:17:11,2750.884,Grain,25
8:18:05,2761.084,Grain,24
8:18:58,2771.284,Grain,25
8:19:51,2781.484,Grain,25
8:20:45,2791.684,Grain,25
8:21:40,2801.884,Grain,25
8:22:35,2812.084,Grain,26
8:23:29,2822.284,Grain,26
8:24:23,2832.484,Grain,27
8:25:17,2842.684,Grain,28
8:26:11,2852.884,Grain,29
8:27:05,2863.084,Grain,29
8:27:59,2873.284,Grain,30
8:28:51,2883.484,Grain,31
8:29:44,2893.684,Grain,32
8:30:38,2903.884,Grain,33
8:31:30,2914.084,Grain,33
8:32:24,2924.284,Grain,32
8:33:17,2934.484,Grain,30
8:34:10,2944.684,Grain,30
8:35:03,2954.884,Grain,31
8:35:56,2965.084,Grain,31
8:36:50,2975.284,Grain,32
8:37:47,2985.484,Grain,31
8:38:41,2995.684,Grain,32
8:39:35,3005.884,Grain,33
8:40:30,3016.084,Grain,34
8:41:26,3026.284,Grain,33
8:42:19,3036.484,Grain,33
8:43:13,3046.684,Grain,34
8:44:07,3056.884,Grain,33
8:45:02,3067.084,Grain,34
8:45:57,3077.284,Grain,32
8:46:52,3087.484,Grain,33
8:47:47,3097.684,Grain,34
8:48:38,3107.884,Grain,35
8:49:31,3118.084,Grain,36
8:50:24,3128.284,Grain,36
8:51:16,3138.484,Grain,36
8:52:10,3148.684,Grain,37
8:53:05,3158.884,Grain,38
8:53:57,3169.084,Grain,39
8:54:50,3179.284,Grain,40
8:55:44,3189.484,Grain,41
8:56:37,3199.684,Grain,42
8:57:32,3209.884,Grain,42
8:58:26,3220.084,Grain,43
8:59:18,3230.284,Grain,44
9:00:11,3240.484,Grain,44
9:01:05,3250.684,Grain,45
9:01:58,3260.884,Grain,46
9:02:53,3271.084,Grain,47
9:03:46,3281.284,Grain,47
9:04:39,3291.484,Grain,47
9:05:32,3301.684,Grain,47
9:06:25,3311.884,Grain,48
9:07:20,3322.084,Grain,49
9:08:15,3332.284,Grain,50
9:09:09,3342.484,Grain,51
9:10:03,3352.684,Grain,52
9:10:56,3362.884,Grain,53
9:11:48,3373.084,Grain,54
9:12:42,3383.284,Grain,55
9:13:39,3393.484,Grain,55
9:14:37,3403.684,Grain,56
9:15:32,3413.884,Grain,55
9:16:27,3424.084,Grain,56
9:17:22,3434.284,Grain,57
9:18:17,3444.484,Grain,58
9:19:11,3454.684,Grain,59
9:20:06,3464.884,Grain,59
9:21:00,3475.084,Grain,60
9:21:55,3485.284,Grain,61
9:22:49,3495.484,Grain,62
