System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
19:40:35,10.00883,Grain,181,
19:40:37,13.05438,Grain,182,
19:40:38,16.12559,Grain,183,
19:40:40,19.16246,Grain,184,
19:40:41,22.22694,Grain,185,
19:40:43,25.25394,Grain,186,
19:40:44,28.34264,Grain,187,
19:40:46,31.40687,Grain,188,
19:40:47,34.49208,Grain,189,
19:40:49,37.56128,Grain,190,
19:40:50,40.57703,Grain,191,
19:40:52,43.639,Grain,192,
19:40:53,46.75893,Grain,193,
19:40:55,49.8484,Grain,194,
19:40:57,52.99601,Grain,195,
19:40:58,56.05948,Grain,196,
19:41:0,59.1391,Grain,197,
19:41:1,62.14268,Grain,198,
19:41:3,65.24402,Grain,199,
19:41:4,68.26093,Grain,200,
19:41:6,71.28421,Grain,201,
19:41:7,74.30801,Grain,202,
19:41:9,77.35068,Grain,203,
19:41:11,80.39661,Grain,204,
19:41:12,83.41953,Grain,205,
19:41:14,86.48694,Grain,206,
19:41:15,89.49788,Grain,207,
19:41:17,92.57436,Grain,208,
19:41:18,95.73335,Grain,209,
19:41:20,98.86317,Grain,210,
19:41:21,101.9193,Grain,211,
19:41:23,105.0071,Grain,212,
19:41:25,108.056,Grain,213,
19:41:26,111.157,Grain,214,
19:41:28,114.1863,Grain,215,
19:41:29,117.2221,Grain,216,
19:41:31,120.297,Grain,217,
19:41:32,123.4012,Grain,218,
19:41:34,126.424,Grain,219,
19:41:35,129.5435,Grain,220,
19:41:37,132.5989,Grain,221,
19:41:38,135.6132,Grain,222,
19:41:40,138.638,Grain,223,
19:41:41,141.7382,Grain,224,
19:41:43,144.7729,Grain,225,
19:41:44,147.8454,Grain,226,
19:41:46,150.8614,Grain,227,
19:41:47,153.8973,Grain,228,
19:41:49,156.9493,Grain,229,
19:41:51,159.9563,Grain,230,
19:41:52,162.958,Grain,231,
19:41:54,166.0494,Grain,232,
19:41:55,169.1463,Grain,233,
19:41:57,172.2053,Grain,234,
19:41:58,175.3005,Grain,235,
19:42:0,178.3031,Grain,236,
19:42:1,181.3768,Grain,237,
19:42:3,184.434,Grain,238,
19:42:4,187.4959,Grain,239,
19:42:6,190.5397,Grain,240,
19:42:7,193.5693,Grain,241,
19:42:9,196.6202,Grain,242,
19:42:10,199.6415,Grain,243,
19:42:12,202.6965,Grain,244,
19:42:14,205.7818,Grain,245,
19:42:15,208.8654,Grain,246,
19:42:17,211.9803,Grain,247,
19:42:18,215.0489,Grain,248,
19:42:20,218.0657,Grain,249,
19:42:22,221.1921,Grain,250,
19:42:23,224.2371,Grain,251,
19:42:25,227.2381,Grain,252,
19:42:26,230.3802,Grain,253,
19:42:28,233.4728,Grain,254,
19:42:29,236.4998,Grain,255,
19:42:31,239.5441,Grain,256,
19:42:33,242.5806,Grain,257,
19:42:34,245.654,Grain,258,
19:42:36,248.681,Grain,259,
19:42:37,251.7511,Grain,260,
19:42:39,254.8192,Grain,261,
19:42:40,257.9375,Grain,259,
19:42:42,260.9795,Grain,260,
19:42:44,264.0604,Grain,260,
19:42:45,267.1611,Grain,259,
19:42:47,270.2592,Grain,259,
19:42:48,273.2939,Grain,259,
19:42:50,276.3563,Grain,260,
19:42:51,279.3847,Grain,261,
19:42:53,282.5138,Grain,261,
19:42:54,285.5785,Grain,261,
19:42:56,288.7776,Grain,262,
19:42:58,291.8964,Grain,263,
19:42:59,294.9493,Grain,262,
19:43:1,298.0315,Grain,262,
19:43:3,301.1403,Grain,262,
19:43:5,304.2532,Grain,263,
19:43:6,307.3166,Grain,262,
19:43:8,310.3769,Grain,263,
19:43:9,313.3784,Grain,264,
