Animals,Chicken,Dog,Lion,Fox,Cow,Pig,
Puppy,,,,,,,
View distance (Puppy),19,20,20,20,19,19,
Walking speed (Puppy),3.3,3,3,3,3.3,3.3,
Age group limit (Puppy),7.5,13,13,13,7.5,7.5,
Hunger (Puppy),1,1,1,1,1,1,
Thirst (Puppy),1,1,1,1,1,1,
Juvenile,,,,,,,
View distance (Juvenile),20,23,23,23,20,20,
Walking speed (Juvenile),3.35,3.55,3.55,3.55,3.35,3.35,
Age group limit (Juvenile),75,130,130,130,75,75,
Hunger (Juvenile),1.7,1.2,1.2,1.2,1.7,1.7,
Thirst (Juvenile),1.7,1.2,1.2,1.2,1.7,1.7,
YoungAdult,,,,,,,
View distance (YoungAdult),22,25,25,25,22,22,
Walking speed (YoungAdult),3.65,3.85,3.85,3.85,3.65,3.65,
Age group limit (YoungAdult),150,286,286,286,150,150,
Hunger (YoungAdult),1.9,1.3,1.3,1.3,1.9,1.9,
Thirst (YoungAdult),1.9,1.3,1.3,1.3,1.9,1.9,
Adult,,,,,,,
View distance (Adult),23,27,27,27,23,23,
Walking speed (Adult),4.15,4.05,4.05,4.05,4.15,4.15,
Age group limit (Adult),225,429,429,429,225,225,
Hunger (Adult),2,1.4,1.4,1.4,2,2,
Thirst (Adult),2,1.4,1.4,1.4,2,2,
AgedAdult,,,,,,,
View distance (AgedAdult),25,29,29,29,25,25,
Walking speed (AgedAdult),4.35,4.2,4.2,4.2,4.35,4.35,
Age group limit (AgedAdult),375,650,650,650,375,375,
Hunger (AgedAdult),1.9,1.3,1.3,1.3,1.9,1.9,
Thirst (AgedAdult),1.9,1.3,1.3,1.3,1.9,1.9,
Elder,,,,,,,
View distance (Elder),22,25,25,25,22,22,
Walking speed (Elder),3.75,3.7,3.7,3.7,3.75,3.75,
Age group limit (Elder),562.5,975,975,975,562.5,562.5,
Hunger (Elder),1.65,1.1,1.1,1.1,1.65,1.65,
Thirst (Elder),1.65,1.1,1.1,1.1,1.65,1.65,
7,,,,,,,
View distance (7),18,21,21,21,18,18,
Walking speed (7),3.25,3.2,3.2,3.2,3.25,3.25,
Age group limit (7),750,1300,1300,1300,750,750,
Hunger (7),1.15,0.7,0.7,0.7,1.15,1.15,
Thirst (7),1.15,0.7,0.7,0.7,1.15,1.15,
HungerThresherhold,80,70,70,70,80,80,
ThirstThresherhold,80,70,70,70,80,80,
Avarage lifetime,750,1300,1300,1300,750,750,
Enemys,Dog & Fox & Lion,Lion,None,Lion & Dog,Lion & Dog & Fox,Fox & Lion & Dog,
Foods,Grain,Chicken,Chicken & Cow & Pig & Fox & Dog,Chicken & Pig,Grain,Grain,
Most childbirth in a pregnancy,3,2,3,2,2,2,
Mating duration,4,7,8,8,12,10,
Pregnacy duration,0,0,0,0,0,0,
Spermatogenesis duration,20,40,30,30,30,30,
Pack forming,False,True,False,True,True,False,
