System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:40:32,5.798543,Chicken,150,150,0,0,0,0,0,0,0,0,0,0,0,0,74,76,74,76,0,0,0,0,
19:40:34,7.863327,Chicken,150,149,0,0,0,0,0,0,0,0,0,0,0,0,73,76,74,76,0,0,0,1,
19:40:36,11.0231,Chicken,150,148,0,0,0,0,0,0,0,0,0,0,0,0,73,75,74,76,0,0,0,2,
19:40:37,13.3175,Chicken,150,148,148,0,0,0,0,0,148,0,0,0,0,0,73,75,74,76,0,0,0,2,
19:40:43,26.3933,Chicken,150,147,147,0,0,0,0,0,148,0,0,0,0,0,72,75,74,76,0,0,0,3,
19:40:49,37.20452,Chicken,150,146,146,0,0,0,0,0,148,0,0,0,0,0,72,74,74,76,0,0,0,4,
19:40:49,37.43392,Chicken,150,145,145,0,0,0,0,0,148,0,0,0,0,0,71,74,74,76,0,0,0,5,
19:40:51,41.37662,Chicken,150,144,144,0,0,0,0,0,148,0,0,0,0,0,70,74,74,76,0,0,0,6,
19:40:53,46.1338,Chicken,150,143,143,0,0,0,0,0,148,0,0,0,0,0,70,73,74,76,0,0,0,7,
19:40:53,46.6305,Chicken,150,142,142,0,0,0,0,0,148,0,0,0,0,0,69,73,74,76,0,0,0,8,
19:41:0,60.09601,Chicken,150,141,141,0,0,0,0,0,148,0,0,0,0,0,68,73,74,76,0,0,0,9,
19:41:3,66.56525,Chicken,150,140,140,0,0,0,0,0,148,0,0,0,0,0,68,72,74,76,0,0,0,10,
19:41:4,67.62737,Chicken,150,139,139,0,0,0,0,0,148,0,0,0,0,0,68,71,74,76,0,0,0,11,
19:41:5,69.13445,Chicken,150,138,138,0,0,0,0,0,148,0,0,0,0,0,67,71,74,76,0,0,0,12,
19:41:6,72.42144,Chicken,150,137,137,0,0,0,0,0,148,0,0,0,0,0,67,70,74,76,0,0,0,13,
19:41:7,72.93722,Chicken,150,136,136,0,0,0,0,0,148,0,0,0,0,0,67,69,74,76,0,0,0,14,
19:41:9,76.36877,Chicken,150,135,135,0,0,0,0,0,148,0,0,0,0,0,66,69,74,76,0,0,0,15,
19:41:10,79.38219,Chicken,150,134,134,0,0,0,0,0,148,0,0,0,0,0,66,68,74,76,0,0,0,16,
19:41:10,80.27409,Chicken,150,133,133,0,0,0,0,0,148,0,0,0,0,0,66,67,74,76,0,0,0,17,
19:41:11,80.93428,Chicken,150,133,0,133,0,0,0,0,148,133,0,0,0,0,66,67,74,76,0,0,0,17,
19:41:12,84.07687,Chicken,150,132,0,132,0,0,0,0,148,133,0,0,0,0,65,67,74,76,0,0,0,18,
19:41:16,91.49136,Chicken,150,131,0,131,0,0,0,0,148,133,0,0,0,0,65,66,74,76,0,0,0,19,
19:41:19,97.10088,Chicken,150,130,0,130,0,0,0,0,148,133,0,0,0,0,65,65,74,76,0,0,0,20,
19:41:19,97.85458,Chicken,150,129,0,129,0,0,0,0,148,133,0,0,0,0,65,64,74,76,0,0,0,21,
19:41:20,99.26178,Chicken,150,128,0,128,0,0,0,0,148,133,0,0,0,0,65,63,74,76,0,0,0,22,
19:41:20,99.55714,Chicken,150,127,0,127,0,0,0,0,148,133,0,0,0,0,64,63,74,76,0,0,0,23,
19:41:25,109.5495,Chicken,150,126,0,126,0,0,0,0,148,133,0,0,0,0,63,63,74,76,0,0,0,24,
19:41:26,111.2734,Chicken,150,125,0,125,0,0,0,0,148,133,0,0,0,0,63,62,74,76,0,0,0,25,
19:41:27,113.5636,Chicken,150,124,0,124,0,0,0,0,148,133,0,0,0,0,62,62,74,76,0,0,0,26,
19:41:29,116.5693,Chicken,150,123,0,123,0,0,0,0,148,133,0,0,0,0,61,62,74,76,0,0,0,27,
19:41:30,119.2897,Chicken,150,122,0,122,0,0,0,0,148,133,0,0,0,0,61,61,74,76,0,0,0,28,
19:41:34,126.6645,Chicken,150,121,0,121,0,0,0,0,148,133,0,0,0,0,61,60,74,76,0,0,0,29,
19:41:34,127.2671,Chicken,150,120,0,120,0,0,0,0,148,133,0,0,0,0,61,59,74,76,0,0,0,30,
19:41:34,127.787,Chicken,150,119,0,119,0,0,0,0,148,133,0,0,0,0,60,59,74,76,0,0,0,31,
19:41:38,134.0837,Chicken,150,118,0,118,0,0,0,0,148,133,0,0,0,0,59,59,74,76,0,0,0,32,
19:41:38,135.3846,Chicken,150,117,0,117,0,0,0,0,148,133,0,0,0,0,58,59,74,76,0,0,0,33,
19:41:39,136.3533,Chicken,150,116,0,116,0,0,0,0,148,133,0,0,0,0,58,58,74,76,0,0,0,34,
19:41:40,138.1842,Chicken,150,115,0,115,0,0,0,0,148,133,0,0,0,0,58,57,74,76,0,0,0,35,
19:41:42,143.7195,Chicken,150,114,0,114,0,0,0,0,148,133,0,0,0,0,57,57,74,76,0,0,0,36,
19:41:43,145.9737,Chicken,150,113,0,113,0,0,0,0,148,133,0,0,0,0,57,56,74,76,0,0,0,37,
19:41:44,147.1514,Chicken,150,112,0,112,0,0,0,0,148,133,0,0,0,0,57,55,74,76,0,0,0,38,
19:41:48,155.8921,Chicken,150,112,0,0,112,0,0,0,148,133,112,0,0,0,57,55,74,76,0,0,0,38,
19:41:50,159.8462,Chicken,150,111,0,0,111,0,0,0,148,133,112,0,0,0,57,54,74,76,0,0,0,39,
19:41:56,170.6696,Chicken,150,110,0,0,110,0,0,0,148,133,112,0,0,0,57,53,74,76,0,0,0,40,
19:42:5,189.2717,Chicken,150,109,0,0,109,0,0,0,148,133,112,0,0,0,57,52,74,76,0,0,0,41,
19:42:27,230.853,Chicken,150,109,0,0,0,109,0,0,148,133,112,109,0,0,57,52,74,76,0,0,0,41,
19:42:28,233.4728,Chicken,150,108,0,0,0,108,0,0,148,133,112,109,0,0,57,51,74,76,0,0,0,42,
19:42:35,246.8806,Chicken,153,111,0,0,0,108,0,0,148,133,112,109,0,0,58,53,75,78,0,0,0,42,
19:42:35,247.2844,Chicken,162,120,0,0,0,108,0,0,148,133,112,109,0,0,65,55,82,80,0,0,0,42,
19:42:36,248.9235,Chicken,171,129,0,0,0,108,0,0,148,133,112,109,0,0,71,58,88,83,0,0,0,42,
19:42:36,249.3105,Chicken,174,132,0,0,0,108,0,0,148,133,112,109,0,0,73,59,90,84,0,0,0,42,
19:42:36,250.1113,Chicken,183,141,0,0,0,108,0,0,148,133,112,109,0,0,77,64,94,89,0,0,0,42,
19:42:36,250.279,Chicken,186,144,0,0,0,108,0,0,148,133,112,109,0,0,80,64,97,89,0,0,0,42,
19:42:39,254.4192,Chicken,186,144,3,0,0,108,0,0,151,133,112,109,0,0,80,64,97,89,0,0,0,42,
19:42:39,254.8192,Chicken,186,144,12,0,0,108,0,0,160,133,112,109,0,0,80,64,97,89,0,0,0,42,
19:42:39,255.3157,Chicken,192,150,12,0,0,108,0,0,160,133,112,109,0,0,81,69,98,94,0,0,0,42,
19:42:40,256.5117,Chicken,192,150,21,0,0,108,0,0,169,133,112,109,0,0,81,69,98,94,0,0,0,42,
19:42:40,256.9374,Chicken,192,150,24,0,0,108,0,0,172,133,112,109,0,0,81,69,98,94,0,0,0,42,
19:42:40,257.6901,Chicken,192,150,33,0,0,108,0,0,181,133,112,109,0,0,81,69,98,94,0,0,0,42,
19:42:40,257.812,Chicken,192,150,36,0,0,108,0,0,184,133,112,109,0,0,81,69,98,94,0,0,0,42,
