System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:40:32,5.798543,Dog,50,50,0,0,0,0,0,0,0,0,0,0,0,0,24,26,24,26,0,0,0,0,
19:40:39,18.813,Dog,50,50,50,0,0,0,0,0,50,0,0,0,0,0,24,26,24,26,0,0,0,0,
19:40:40,20.91393,Dog,50,49,49,0,0,0,0,0,50,0,0,0,0,0,23,26,24,26,0,0,0,1,
19:41:38,135.8951,Dog,50,49,0,49,0,0,0,0,50,49,0,0,0,0,23,26,24,26,0,0,0,1,
19:42:11,201.2476,Dog,50,48,0,48,0,0,0,0,50,49,0,0,0,0,23,25,24,26,0,0,0,2,
19:42:58,291.8964,Dog,50,48,0,0,48,0,0,0,50,49,48,0,0,0,23,25,24,26,0,0,0,2,
19:43:1,296.6748,Dog,50,47,0,0,47,0,0,0,50,49,48,0,0,0,22,25,24,26,0,0,0,3,
19:44:12,434.9364,Dog,50,47,0,0,0,47,0,0,50,49,48,47,0,0,22,25,24,26,0,0,0,3,
19:45:18,555.1818,Dog,52,49,0,0,0,47,0,0,50,49,48,47,0,0,23,26,25,27,0,0,0,3,
19:45:19,556.7817,Dog,58,55,0,0,0,47,0,0,50,49,48,47,0,0,25,30,27,31,0,0,0,3,
19:45:20,557.3818,Dog,64,61,0,0,0,47,0,0,50,49,48,47,0,0,30,31,32,32,0,0,0,3,
19:45:20,557.9818,Dog,68,65,0,0,0,47,0,0,50,49,48,47,0,0,31,34,33,35,0,0,0,3,
19:45:22,561.3818,Dog,70,67,0,0,0,47,0,0,50,49,48,47,0,0,31,36,33,37,0,0,0,3,
19:45:23,562.7817,Dog,72,69,0,0,0,47,0,0,50,49,48,47,0,0,32,37,34,38,0,0,0,3,
19:45:25,566.1818,Dog,74,71,0,0,0,47,0,0,50,49,48,47,0,0,33,38,35,39,0,0,0,3,
19:45:27,568.3818,Dog,74,71,2,0,0,47,0,0,52,49,48,47,0,0,33,38,35,39,0,0,0,3,
19:45:28,569.9818,Dog,74,71,8,0,0,47,0,0,58,49,48,47,0,0,33,38,35,39,0,0,0,3,
19:45:28,570.5818,Dog,74,71,14,0,0,47,0,0,64,49,48,47,0,0,33,38,35,39,0,0,0,3,
19:45:29,571.1818,Dog,74,71,18,0,0,47,0,0,68,49,48,47,0,0,33,38,35,39,0,0,0,3,
19:45:31,574.5818,Dog,74,71,20,0,0,47,0,0,70,49,48,47,0,0,33,38,35,39,0,0,0,3,
19:45:32,575.9818,Dog,74,71,22,0,0,47,0,0,72,49,48,47,0,0,33,38,35,39,0,0,0,3,
19:45:33,577.1818,Dog,76,73,22,0,0,47,0,0,72,49,48,47,0,0,34,39,36,40,0,0,0,3,
19:45:35,579.3818,Dog,76,73,24,0,0,47,0,0,74,49,48,47,0,0,34,39,36,40,0,0,0,3,
19:45:42,590.3818,Dog,76,73,26,0,0,47,0,0,76,49,48,47,0,0,34,39,36,40,0,0,0,3,
19:45:49,599.7817,Dog,78,75,26,0,0,47,0,0,76,49,48,47,0,0,35,40,37,41,0,0,0,3,
19:45:58,612.9818,Dog,78,75,28,0,0,47,0,0,78,49,48,47,0,0,35,40,37,41,0,0,0,3,
19:46:3,621.1818,Dog,78,73,28,0,0,45,0,0,78,49,48,47,0,0,34,39,37,41,0,2,0,3,
19:46:8,627.9818,Dog,80,75,28,0,0,45,0,0,78,49,48,47,0,0,35,40,38,42,0,2,0,3,
19:46:17,640.5818,Dog,82,77,28,0,0,45,0,0,78,49,48,47,0,0,36,41,39,43,0,2,0,3,
19:46:17,641.1818,Dog,82,77,30,0,0,45,0,0,80,49,48,47,0,0,36,41,39,43,0,2,0,3,
19:46:26,653.7817,Dog,82,77,32,0,0,45,0,0,82,49,48,47,0,0,36,41,39,43,0,2,0,3,
19:46:28,655.9818,Dog,82,77,32,0,0,0,45,0,82,49,48,47,45,0,36,41,39,43,0,2,0,3,
