System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:40:32,5.798543,Lion,15,15,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,7,0,0,0,0,
19:40:39,18.813,Lion,15,15,15,0,0,0,0,0,15,0,0,0,0,0,8,7,8,7,0,0,0,0,
19:41:38,135.8951,Lion,15,15,0,15,0,0,0,0,15,15,0,0,0,0,8,7,8,7,0,0,0,0,
19:42:58,291.8964,Lion,15,15,0,0,15,0,0,0,15,15,15,0,0,0,8,7,8,7,0,0,0,0,
19:44:12,434.9364,Lion,15,15,0,0,0,15,0,0,15,15,15,15,0,0,8,7,8,7,0,0,0,0,
19:46:28,655.9818,Lion,15,15,0,0,0,0,15,0,15,15,15,15,15,0,8,7,8,7,0,0,0,0,
19:47:2,701.1818,Lion,18,18,0,0,0,0,15,0,15,15,15,15,15,0,9,9,9,9,0,0,0,0,
19:47:12,714.3818,Lion,18,18,3,0,0,0,15,0,18,15,15,15,15,0,9,9,9,9,0,0,0,0,
19:47:21,724.7817,Lion,21,21,3,0,0,0,15,0,18,15,15,15,15,0,10,11,10,11,0,0,0,0,
19:47:32,737.9818,Lion,21,21,6,0,0,0,15,0,21,15,15,15,15,0,10,11,10,11,0,0,0,0,
19:47:40,747.7817,Lion,24,24,6,0,0,0,15,0,21,15,15,15,15,0,11,13,11,13,0,0,0,0,
19:47:51,760.9818,Lion,24,24,9,0,0,0,15,0,24,15,15,15,15,0,11,13,11,13,0,0,0,0,
19:48:45,819.9818,Lion,27,27,9,0,0,0,15,0,24,15,15,15,15,0,13,14,13,14,0,0,0,0,
19:48:56,830.3818,Lion,30,30,9,0,0,0,15,0,24,15,15,15,15,0,13,17,13,17,0,0,0,0,
19:48:57,831.3818,Lion,30,30,6,3,0,0,15,0,24,18,15,15,15,0,13,17,13,17,0,0,0,0,
19:48:59,833.1818,Lion,30,30,9,3,0,0,15,0,27,18,15,15,15,0,13,17,13,17,0,0,0,0,
19:49:10,843.5818,Lion,30,30,12,3,0,0,15,0,30,18,15,15,15,0,13,17,13,17,0,0,0,0,
19:49:21,854.9818,Lion,30,30,9,6,0,0,15,0,30,21,15,15,15,0,13,17,13,17,0,0,0,0,
19:49:47,877.9818,Lion,30,30,6,9,0,0,15,0,30,24,15,15,15,0,13,17,13,17,0,0,0,0,
19:50:46,927.1818,Lion,33,33,6,9,0,0,15,0,30,24,15,15,15,0,15,18,15,18,0,0,0,0,
19:51:3,940.3818,Lion,33,33,9,9,0,0,15,0,33,24,15,15,15,0,15,18,15,18,0,0,0,0,
19:51:15,950.1818,Lion,33,33,6,12,0,0,15,0,33,27,15,15,15,0,15,18,15,18,0,0,0,0,
19:51:28,960.5818,Lion,33,33,3,15,0,0,15,0,33,30,15,15,15,0,15,18,15,18,0,0,0,0,
19:51:53,980.7817,Lion,33,33,3,15,0,0,0,15,33,30,15,15,15,15,15,18,15,18,0,0,0,0,
19:52:1,987.3818,Lion,33,33,3,12,3,0,0,15,33,30,18,15,15,15,15,18,15,18,0,0,0,0,
19:52:19,1000.782,Lion,33,32,3,12,3,0,0,14,33,30,18,15,15,15,15,17,15,18,0,0,1,0,
19:52:31,1010.982,Lion,33,31,3,9,6,0,0,13,33,30,21,15,15,15,14,17,15,18,0,0,2,0,
19:53:0,1033.982,Lion,33,31,3,6,9,0,0,13,33,30,24,15,15,15,14,17,15,18,0,0,2,0,
19:53:9,1040.982,Lion,33,28,3,6,9,0,0,10,33,30,24,15,15,15,12,16,15,18,0,0,5,0,
19:53:13,1043.982,Lion,36,31,3,6,9,0,0,10,33,30,24,15,15,15,13,18,16,20,0,0,5,0,
19:53:31,1057.382,Lion,36,31,3,9,9,0,0,10,36,33,24,15,15,15,13,18,16,20,0,0,5,0,
19:53:36,1061.382,Lion,36,29,3,9,9,0,0,8,36,33,24,15,15,15,13,16,16,20,0,0,7,0,
19:53:37,1061.782,Lion,36,28,3,8,9,0,0,8,36,33,24,15,15,15,13,15,16,20,1,0,7,0,
19:53:50,1071.582,Lion,36,27,3,8,9,0,0,7,36,33,24,15,15,15,12,15,16,20,1,0,8,0,
19:54:3,1081.782,Lion,36,26,3,8,9,0,0,6,36,33,24,15,15,15,11,15,16,20,1,0,9,0,
19:54:16,1091.982,Lion,36,24,3,8,9,0,0,4,36,33,24,15,15,15,11,13,16,20,1,0,11,0,
19:54:35,1106.182,Lion,36,24,3,5,12,0,0,4,36,33,27,15,15,15,11,13,16,20,1,0,11,0,
19:54:43,1112.382,Lion,36,23,3,5,12,0,0,3,36,33,27,15,15,15,11,12,16,20,1,0,12,0,
19:54:48,1116.582,Lion,36,23,3,3,14,0,0,3,36,33,29,15,15,15,11,12,16,20,1,0,12,0,
19:55:7,1130.182,Lion,36,23,3,3,11,3,0,3,36,33,29,18,15,15,11,12,16,20,1,0,12,0,
19:55:11,1132.782,Lion,36,22,3,3,11,3,0,2,36,33,29,18,15,15,10,12,16,20,1,0,13,0,
19:55:46,1153.782,Lion,36,22,3,3,8,6,0,2,36,33,29,21,15,15,10,12,16,20,1,0,13,0,
19:56:1,1163.382,Lion,36,21,3,3,8,6,0,1,36,33,29,21,15,15,9,12,16,20,1,0,14,0,
