,,Chicken,SpeedInheritedDominant,SpeedInheritedRecessive,SpeedInheritedAVG,SpeedMutationValue,SpeedDominant,SpeedRecessive,SpeedAVG,FatherSpeed,MotherSpeed,SpeedParentsAVG,MetabolismInheritedDominant,MetabolismInheritedRecessive,MetabolismInheritedAVG,MetabolismMutationValue,MetabolismDominant,MetabolismRecessive,MetabolismAVG,MetabolismFather,MetabolismMother,MetabolismParentsAVG,ReproductionInheritedDominant,ReproductionInheritedRecessive,ReproductionInheritedAVG,ReproductionMutationValue,ReproductionDominant,ReproductionRecessive,ReproductionAVG,ReproductionFather,ReproductionMother,ReproductionParentsAVG,,SpeedComparedToParents,MetabloismComparedToParents,ReproductionComparedToParents
>=1,<2,1-2,0.0316046192960199,-0.0340445157512438,-0.00121994822761197,0.0024422920515301,0.0343413829875997,-0.0318127706300619,0.00126430617876891,-0.00107809897014925,0.00495602886567164,0.0019389649477612,0.0187708639855721,-0.031565888541791,-0.00639751227810946,-0.00269399464544776,0.0169871878948507,-0.0325462514673383,-0.00777953178624377,-0.00604492579850747,-5.15275820895539E-05,-0.00304822669029851,0.106598880522388,-0.0902064532039801,0.00819621365920401,-0.00182661122400497,0.106997003604478,-0.0872413035710199,0.00987785001672885,0.00934784708955222,0.0493545560746269,0.0293512015820895,,0.0324024180398385,,
>=2,<3,2-3,0.052422150353971,-0.0480456830873638,0.00218823363330357,0.00121168650327887,0.0516864683706157,-0.0467018438767974,0.00249231224690914,0.0285303727774511,0.0406102082353435,0.0345702905063973,0.0352340215586057,-0.0349512103065469,0.000141405626029396,-0.000773760594226581,0.0345729343722222,-0.0359649384513834,-0.000696002039580583,0.0217202498875817,0.0305032771337582,0.02611176351067,0.146383671071895,-0.140953376217865,0.00271514742701515,-0.0071026166869281,0.13431909067647,-0.143999338348584,-0.00484012383605666,0.114704825843138,0.102286131232026,0.108495478537582,,0.0171161778642184,,
>=3,<4,3-4,0.0610511093655941,-0.0508591729092408,0.00509596822817663,-0.00199411843176568,0.058508649799967,-0.0530624133527226,0.0027231182236222,0.0497871361669066,0.0507648932071783,0.0502760146870424,0.0481480382952144,-0.0411949101070957,0.00347656409405935,0.000162489064191417,0.0486615357897111,-0.0402936015758251,0.004183967106943,0.0393983650353961,0.036356033100495,0.0378771990679455,0.182853340488449,-0.192245978612211,-0.0046963190618811,-0.00614662719282179,0.180279781888614,-0.192118568325495,-0.00591939321844068,0.140904829881189,0.133127173876237,0.137016001878713,,0.00823263511292459,,
>=4,<5,4-5,0.0755410023533784,-0.0505435669298197,0.0124987177117793,0.00283534515825075,0.0779887703852854,-0.0509707166413213,0.013509026871982,0.0591030728716217,0.0687070190931531,0.0639050459823874,0.0623409360427177,-0.0370939815362612,0.0126234772532282,0.00191097502975225,0.0641723842126126,-0.0360630052534609,0.0140546894795758,0.0542744454905405,0.0572563980162837,0.0557654217534121,0.191789885914414,-0.193582042551802,-0.000896078318693705,-0.000216967154279281,0.190011700454204,-0.198190192791667,-0.00408924616873112,0.166310312177928,0.176248989128378,0.171279650653153,,0.014083724402898,,
>=5,<6,5-6,0.0839966540963272,-0.0586299852322243,0.0126833344320515,-0.000757827884324326,0.0852532870626821,-0.0586549752293832,0.0132991559166495,0.0711154220852393,0.0790083426293142,0.0750618823572767,0.0697884566141231,-0.0380493903215592,0.015869533146282,0.000515075893374912,0.0687296809323491,-0.0390769403498129,0.0148263702912681,0.061164831782952,0.0647711627852391,0.0629679972840955,0.251038301176431,-0.200144100711711,0.02544710023236,-0.00304385155710326,0.249838341600963,-0.199458687318781,0.0251898271410915,0.213363809642411,0.215597163805675,0.214480486724043,,0.0101914047054053,,
>=6,<7,6-7,0.095000481352174,-0.0714945906839922,0.0117529453340909,0.00110877110893281,0.094590259427668,-0.0689717704347957,0.0128092444964362,0.0862801300120558,0.0938691310557313,0.0900746305338935,0.0661511075067851,-0.0584390627825429,0.00385602236212111,-0.000939337573451909,0.0663778736429512,-0.0596404251884058,0.00336872422727272,0.0668429790899207,0.0651140965747035,0.0659785378323121,0.245154406461792,-0.232680134046771,0.00623713620751036,-0.0156081063063241,0.234258450549605,-0.239795507824742,-0.0027685286375687,0.24308993824506,0.256923406802372,0.250006672523716,,0.00451562889377448,,
>=7,<8,7-8,0.0955895432659889,-0.0777409356262845,0.00892430381985224,0.00188904445891928,0.0973760525002465,-0.0755694573800615,0.0109032975600925,0.0916273290465806,0.0874797846561922,0.0895535568513864,0.0760921841737524,-0.0609150402128158,0.00758857198046832,-0.00093670286095502,0.0749355976996304,-0.0619463817748861,0.00649460796237216,0.0710284485090572,0.0789564553234753,0.0749924519162662,0.255310109265496,-0.282560830866296,-0.0136253608004,0.00400383579684904,0.254704236134073,-0.280217087205176,-0.0127564255355514,0.237923526218115,0.242055396608688,0.239989461413402,,0.0078224956488601,,
>=8,<9,8-9,0.0988332239450943,-0.0808814531096818,0.00897588541770624,0.000119505872551005,0.0995095978673488,-0.0794144813950619,0.0100475582361435,0.0946249318089668,0.102481171070955,0.0985530514399611,0.0757322102858349,-0.0603073125335413,0.00771244887614679,0.000107676536549707,0.0759835504659519,-0.0613279499886161,0.00732780023866791,0.0775720340824562,0.0889853445902535,0.0832786893363548,0.238416637875244,-0.290046418222222,-0.0258148901734891,-8.33028630929152E-05,0.240162661470241,-0.289692362236778,-0.0247648503832685,0.240743881021442,0.262503757352827,0.251623819187135,,0.000956546427387753,,
>=9,<10,9-10,0.107411038993392,-0.0888945471428321,0.00925824592527975,-0.0016983931556536,0.106228550523101,-0.0873581574963906,0.00943519651335519,0.102699188092375,0.105620433408824,0.104159810750599,0.0908145778137255,-0.0631910438260714,0.013811766993827,0.00119055846223675,0.0917585558357299,-0.0637510120095427,0.0140037719130936,0.088225048921133,0.0869697503592594,0.0875973996401962,0.274991185336747,-0.339084589909877,-0.0320467022865649,0.000949678204793024,0.276032158689834,-0.33990025690748,-0.0319340491088231,0.265644689501089,0.253058229984096,0.259351459742593,,0.00206873977250173,,
>=10,<11,10-11,0.129745856504693,-0.07036178607626,0.0296920352142163,0.00322823805982143,0.131561316373919,-0.0686741266559326,0.0314435948589931,0.123241083547619,0.103791113594703,0.113516098571161,0.10318936413502,-0.0558419185495237,0.0236737227927482,-0.000411203087817461,0.102954382855149,-0.0554534383757242,0.0237504722397124,0.0970395454208334,0.0987921015476194,0.0979158234842264,0.314496365610516,-0.296891661022817,0.00880235229384946,0.000451735452480158,0.315251517725893,-0.303878464119444,0.00568652680322437,0.292728390869048,0.265012108812799,0.278870249840923,,0.018045217802758,,
